Gene1	Gene2	EdgeWeight
Fgf8	Pax6	1.8754096383953296
Pax6	Fgf8	1.8754096383953296
Sp8	Coup	1.7640815617842986
Coup	Sp8	1.7640815617842986
Sp8	Emx2	1.6287955879089957
Emx2	Sp8	1.6287955879089957
Coup	Emx2	1.3628199884437957
Emx2	Coup	1.3628199884437957
Sp8	Fgf8	1.0574409900619768
Fgf8	Sp8	1.0574409900619768
Coup	Fgf8	0.7620409223343524
Fgf8	Coup	0.7620409223343524
Coup	Pax6	0.4733044932252443
Pax6	Coup	0.4733044932252443
Sp8	Pax6	0.3414835505170357
Pax6	Sp8	0.3414835505170357
Fgf8	Emx2	0.3148464651262337
Emx2	Fgf8	0.3148464651262337
Emx2	Pax6	0.3016791490955497
Pax6	Emx2	0.3016791490955497
