Gene1	Gene2	EdgeWeight
Sp8	Emx2	842.125728662394
Pax6	Emx2	157.03682029699
Fgf8	Emx2	152.60130587126102
Coup	Emx2	88.0303334708445
Sp8	Fgf8	23.493463896893
Pax6	Coup	15.1110546293467
Sp8	Pax6	14.121322823120899
Fgf8	Fgf8	13.2955016122609
Fgf8	Coup	12.7160449417628
Sp8	Sp8	11.761046956556001
Fgf8	Pax6	6.22846301163108
Emx2	Fgf8	5.90435741687016
Coup	Coup	5.60933078211879
Emx2	Pax6	4.11283696371997
Coup	Pax6	3.96338798378526
Coup	Fgf8	3.69182246657782
Sp8	Coup	3.46202905880683
Emx2	Coup	2.85220669172157
Pax6	Sp8	2.14612855092765
Fgf8	Sp8	2.01349347661599
Emx2	Emx2	1.91834432741445
Pax6	Pax6	1.87151211692415
Emx2	Sp8	1.83756706153158
Coup	Sp8	1.47921526729623
Pax6	Fgf8	0.874495303637779
