Gene1	Gene2	EdgeWeight
Coup	Sp8	269.3612622619416
Pax6	Fgf8	265.8626045738372
Fgf8	Pax6	262.48973952617075
Sp8	Coup	161.06537173163844
Emx2	Sp8	159.07871166529748
Coup	Fgf8	156.271369073973
Emx2	Coup	138.8716069543559
Fgf8	Coup	137.95066962388256
Fgf8	Sp8	137.84662220390587
Sp8	Pax6	118.24544401261471
Coup	Pax6	117.60970683320215
Sp8	Fgf8	111.72516193249187
Coup	Emx2	104.25428779841721
Sp8	Emx2	103.4900499097628
Pax6	Sp8	95.71340386885514
Emx2	Pax6	75.65510962801244
Pax6	Emx2	68.7126063441905
Pax6	Coup	66.11235169012308
Emx2	Fgf8	58.140864419697955
Fgf8	Emx2	51.54305594762947
