Gene1	Gene2	EdgeWeight
Fgf8	Pax6	0.5904635909340075
Coup	Sp8	0.5520239524648825
Pax6	Fgf8	0.5499508116766547
Sp8	Coup	0.5340935607102578
Sp8	Emx2	0.3962652818908501
Coup	Emx2	0.3462646851262431
Coup	Fgf8	0.2683750639773565
Emx2	Coup	0.2657970351929988
Emx2	Sp8	0.2216279631904416
Coup	Pax6	0.20327460808940875
Pax6	Emx2	0.1872379614732452
Sp8	Pax6	0.17305987671532935
Fgf8	Coup	0.1556679813146044
Fgf8	Sp8	0.15531178486982586
Sp8	Fgf8	0.15393806549294806
Pax6	Sp8	0.07103629947484963
Fgf8	Emx2	0.07023207150966147
Pax6	Coup	0.0444414227821394
Emx2	Pax6	0.033201924261255435
Emx2	Fgf8	0.027736058853039484
