Gene1	Gene2	EdgeWeight
Emx2	Coup	0.134178129467387
Pax6	Sp8	0.126318355779182
Coup	Emx2	0.106695277188916
Fgf8	Pax6	0.0991881242918772
Fgf8	Sp8	0.0944037426648798
Sp8	Pax6	0.0927918495557478
Sp8	Fgf8	0.0747402106679718
Pax6	Coup	0.0744481231891153
Pax6	Fgf8	0.0732569625014481
Coup	Pax6	0.0693281940605194
Coup	Sp8	0.0683056370854902
Sp8	Coup	0.0591989788993787
Fgf8	Coup	0.0463920519448503
Emx2	Pax6	0.0449659243489661
Coup	Fgf8	0.0340488307818168
Emx2	Sp8	0.0290038155154961
Sp8	Emx2	0.0170622874338391
Emx2	Fgf8	0.0160754614431144
Pax6	Emx2	0.0126591439960942
Fgf8	Emx2	0.0106797193375572
