Gene1	Gene2	EdgeWeight
Pax6	Fgf8	0.9405149824609259
Sp8	Emx2	0.8490066851176651
Coup	Emx2	0.7681558063439109
Fgf8	Sp8	0.752722592696268
Fgf8	Pax6	0.739226338214583
Sp8	Coup	0.734564729006043
Coup	Sp8	0.733802333177146
Sp8	Pax6	0.67142592402802
Emx2	Sp8	0.631374348543652
Emx2	Coup	0.610030198501209
Sp8	Fgf8	0.569354455797271
Fgf8	Emx2	0.477157302547669
Coup	Pax6	0.45381777945607393
Fgf8	Coup	0.442882311219493
Coup	Fgf8	0.44123823875373497
Pax6	Sp8	0.435408199897631
Pax6	Emx2	0.42992984862855005
Emx2	Fgf8	0.38689641353557797
Emx2	Pax6	0.373515583875327
Pax6	Coup	0.327136226731879
