,Jaccard Median,Jaccard MAD
GENIE3,0.8181818181818182,0.07392952667625621
GRISLI,0.5384615384615384,0.12915575411819336
GRNBOOST2,0.8181818181818182,0.10655959973439125
GRNVBEM,0.7368421052631579,0.1169306790372924
LEAP,0.8181818181818182,0.14880141974553387
PIDC,1.0,0.15246047474347096
PPCOR,0.6666666666666666,0.1380578676179144
SCINGE,0.3125,0.17655197474594178
SCNS,0.6666666666666666,0.13269749733495276
SCODE,0.5384615384615384,0.14341063280374605
SCRIBE,0.3333333333333333,0.14637004802121037
SINCERITIES,0.5384615384615384,0.13438499312039204
