,dyn-BF_500_0,dyn-BF_500_1,dyn-BF_500_2,dyn-BF_500_3,dyn-BF_500_4,dyn-BF_500_5,dyn-BF_500_6,dyn-BF_500_7,dyn-BF_500_8,dyn-BF_500_9,dyn-BF_2000_0,dyn-BF_2000_1,dyn-BF_2000_2,dyn-BF_2000_3,dyn-BF_2000_4,dyn-BF_2000_5,dyn-BF_2000_6,dyn-BF_2000_7,dyn-BF_2000_8,dyn-BF_2000_9,dyn-BF_5000_0,dyn-BF_5000_1,dyn-BF_5000_2,dyn-BF_5000_3,dyn-BF_5000_4,dyn-BF_5000_5,dyn-BF_5000_6,dyn-BF_5000_7,dyn-BF_5000_8,dyn-BF_5000_9
GENIE3,28.66,30.64,30.98,31.06,31.03,26.81,29.98,26.25,31.1,28.91,67.73,62.05,68.4,60.44,65.79,66.53,67.1,69.78,63.93,63.23,155.13,153.5,159.41,181.21,152.01,149.73,150.52,148.34,148.08,160.75
GRISLI,114.21000000000001,98.1,97.86,103.03999999999999,98.17,123.0,93.84,95.07,95.11,95.19,115.35,101.28999999999999,125.28,110.33,106.67,103.21000000000001,112.77000000000001,119.94,108.96000000000001,103.74,166.42000000000002,188.01999999999998,151.93,147.89,167.8,159.26,142.62,142.48000000000002,142.91,145.8
GRNBOOST2,8.9,7.53,7.86,8.41,8.43,8.83,7.59,7.82,7.81,7.47,16.75,16.12,16.7,16.42,15.79,16.04,16.05,18.22,16.37,15.71,28.83,29.43,30.3,34.74,28.63,28.2,28.63,28.97,25.95,34.62
GRNVBEM,32.620000000000005,32.71,37.2,32.95,33.36,34.89,33.39,38.53,32.69,34.55,35.73,38.21,35.010000000000005,35.16,34.3,35.97,33.9,34.83,37.15,34.519999999999996,61.76,58.230000000000004,60.41,61.22,57.86,58.14,55.61,57.16,56.760000000000005,65.07
LEAP,5.74,4.789999999999999,4.39,5.26,4.51,5.369999999999999,4.46,4.65,4.529999999999999,4.699999999999999,41.6,40.86,46.209999999999994,40.849999999999994,40.83,42.36,41.33,46.69,41.760000000000005,40.57,381.65,429.15999999999997,409.17,422.40999999999997,406.27,392.77,403.86,381.84,402.28,388.58000000000004
PIDC,25.41,24.99,29.46,25.48,26.14,27.29,26.04,30.17,24.8,25.51,26.55,26.77,27.56,26.42,26.2,27.88,26.4,26.26,26.6,26.29,39.75,36.63,37.04,36.08,34.62,34.23,34.36,33.6,35.03,38.83
PPCOR,0.36,0.37,0.86,0.48,0.33,0.36,0.36,0.36,0.3,0.4,0.9,0.88,0.94,0.92,0.91,0.98,0.89,1.04,0.88,0.92,3.61,3.59,3.48,3.5,3.86,3.55,3.52,3.52,3.49,3.51
SCINGE,83.49,79.85,72.86,75.9,72.47,69.64,78.55000000000001,76.39,73.38,71.96000000000001,268.85,279.25,146.9,220.59,158.3,257.2,300.53,252.99,244.5,248.07999999999998,876.62,852.47,843.32,997.99,1173.1,857.94,580.22,960.3499999999999,787.48,1228.78
SCNS,4.91,6.94,6.75,6.16,5.99,6.8,6.73,6.81,6.01,5.93,7.21,7.07,7.25,6.73,7.52,6.62,6.64,6.84,7.17,7.59,7.77,6.98,7.54,7.95,6.92,6.38,8.33,7.87,7.08,6.96
SCODE,347.27,381.29999999999995,353.08000000000004,349.32,373.42,347.49,368.39,368.58,365.99,371.94,829.85,809.19,785.5699999999999,816.55,760.8399999999999,817.6500000000001,766.0799999999999,769.54,801.89,770.8199999999999,1738.0900000000001,1741.3400000000001,1745.23,1703.4299999999998,1627.8600000000001,1648.4699999999998,1679.82,1651.21,1642.46,1611.99
SCRIBE,13.52,11.36,12.21,13.61,11.620000000000001,12.7,11.54,13.2,12.11,11.629999999999999,22.0,23.41,27.729999999999997,22.39,22.36,22.84,22.520000000000003,22.09,22.22,22.939999999999998,61.980000000000004,58.81,61.46,57.260000000000005,62.449999999999996,63.099999999999994,57.75,57.2,57.49,58.04
SINCERITIES,5.24,5.28,6.49,5.21,5.65,5.32,5.15,6.04,4.99,5.03,5.96,5.140000000000001,5.15,5.35,5.15,5.6,5.48,5.32,5.54,5.699999999999999,6.65,6.199999999999999,6.1,5.23,5.48,5.75,5.5600000000000005,5.5,5.470000000000001,5.35
