Gene1	Gene2	EdgeWeight
g6	g6	1.0
g8	g8	1.0
g4	g4	1.0
g3	g3	1.0
g7	g7	1.0
g2	g2	1.0
g1	g1	1.0
g1	g2	0.548284146087569
g2	g1	0.548284146087569
g6	g1	-0.396100505135601
g1	g6	-0.396100505135601
g7	g4	0.36947849167598407
g4	g7	0.36947849167598407
g3	g6	0.340579250249068
g6	g3	0.340579250249068
g6	g8	0.328555705556711
g8	g6	0.328555705556711
g4	g8	-0.321353904936084
g8	g4	-0.321353904936084
g3	g2	0.316684010631404
g2	g3	0.316684010631404
g3	g4	0.30805906616691303
g4	g3	0.30805906616691303
g1	g7	-0.291557051249017
g7	g1	-0.291557051249017
g7	g8	-0.240457942992425
g8	g7	-0.24045794299242398
g6	g7	-0.22605584513392502
g7	g6	-0.22605584513392502
g4	g6	0.222788593402862
g6	g4	0.22278859340286103
g8	g1	0.207772008524779
g1	g8	0.207772008524779
g8	g2	0.0892474753757208
g2	g8	0.0892474753757207
g7	g3	0.0798551152863748
g3	g7	0.0798551152863747
g3	g1	-0.0593362662553652
g1	g3	-0.0593362662553651
g3	g8	0
g8	g3	0
g4	g2	0
g2	g4	0
g4	g1	0
g1	g4	0
g2	g7	0
g7	g2	0
g2	g6	0
g6	g2	0
