Gene1	Gene2	EdgeWeight
g8	g3	1.0
g2	g3	1.0
g7	g2	0.513932521844634
g3	g4	0.481184014933113
g1	g2	0.449108328392323
g4	g1	0.413567846174685
g8	g2	0.37516837102984796
g4	g4	0.36874652412264003
g3	g3	0.36391696302896603
g7	g8	0.352811983441508
g7	g1	0.35068081118359806
g1	g8	0.32774474766162703
g6	g8	0.312244998347409
g6	g1	0.30301183388748704
g3	g6	0.302503216663478
g1	g1	0.301398469445783
g4	g8	0.255050346586247
g4	g7	0.206854030860885
g6	g6	0.19864445413563897
g8	g8	0.19374094578533102
g8	g1	0.179694824093427
g6	g4	0.136382932605828
g2	g2	0.11223411333111
g4	g6	0.11077726245314501
g6	g7	0.0925010176913521
g6	g2	0.0627598999389681
g1	g7	0.0595190900631396
g1	g3	0.0540942929333657
g2	g8	0.0270460132786839
g2	g7	0.00396399961821718
g7	g7	0.00350636443370648
g7	g6	1.5907127571676e-36
g8	g6	0.0
g3	g1	0.0
g3	g2	0.0
g4	g2	0.0
g3	g7	0.0
g8	g7	0.0
g7	g3	0.0
g4	g3	0.0
g1	g6	0.0
g6	g3	0.0
g1	g4	0.0
g2	g4	0.0
g7	g4	0.0
g8	g4	0.0
g3	g8	0.0
g2	g6	0.0
g2	g6	0.0
g1	g6	0.0
g4	g3	0.0
g3	g8	0.0
g8	g4	0.0
g7	g4	0.0
g2	g4	0.0
g1	g4	0.0
g6	g3	0.0
g7	g3	0.0
g8	g6	0.0
g8	g7	0.0
g3	g7	0.0
g4	g2	0.0
g3	g2	0.0
g3	g1	0.0
g2	g1	0.0
g2	g1	0.0
