Gene1	Gene2	EdgeWeight
g1	g7	0.8804408889440121
g7	g1	0.8804408889440121
g7	g8	0.846057458926702
g8	g7	0.846057458926702
g1	g8	0.8423251147074821
g8	g1	0.8423251147074821
g6	g1	0.79415084078933
g4	g1	0.7907919497562209
g4	g7	0.789835568101383
g4	g8	0.7824828209484219
g3	g6	0.7792940234195179
g3	g4	0.7698369899025971
g3	g1	0.755873573797111
g4	g2	0.723231032381203
g3	g8	0.7217571433426179
g3	g7	0.718047995434203
g6	g2	0.7159882601664179
g7	g2	0.6773511003903601
g1	g2	0.669126028579386
g7	g4	0.650554966228583
g4	g3	0.63215585338976
g6	g3	0.6287654380004051
g6	g4	0.617826626821662
g4	g6	0.617826626821662
g1	g6	0.613033031755645
g8	g2	0.597736485880694
g1	g4	0.58352774390654
g8	g4	0.5363552099077321
g3	g2	0.5232567797624289
g8	g3	0.511074823719069
g7	g3	0.510536038513134
g1	g3	0.509233660133075
g6	g8	0.502545051665362
g6	g7	0.494892195266768
g2	g3	0.475075536952184
g2	g8	0.470375589130131
g8	g6	0.42408703059571706
g7	g6	0.37742982725073504
g2	g1	0.37285058477681204
g2	g6	0.353917479171919
g2	g4	0.318388489567144
g2	g7	0.306218597339518
