Gene1	Gene2	EdgeWeight
g2	g1	1.8749778278786708
g1	g2	1.8749778278786708
g8	g7	1.7817799979526183
g7	g8	1.7817799979526183
g6	g4	1.6820568392876658
g4	g6	1.6820568392876658
g6	g3	1.5721745149206914
g3	g6	1.5721745149206914
g4	g7	1.536046036264017
g7	g4	1.536046036264017
g4	g3	1.4966964681236663
g3	g4	1.4966964681236663
g7	g1	1.4840808943219006
g1	g7	1.4840808943219006
g8	g1	1.4196775714769063
g1	g8	1.4196775714769063
g8	g4	1.3768046725322478
g4	g8	1.3768046725322478
g3	g2	1.3748209394353597
g2	g3	1.3748209394353597
g6	g7	1.1772493469776952
g7	g6	1.1772493469776952
g6	g8	1.1113101299783357
g8	g6	1.1113101299783357
g8	g2	1.0238947309161492
g2	g8	1.0238947309161492
g6	g1	0.7839226643891308
g1	g6	0.7839226643891308
g4	g1	0.7017420530069739
g1	g4	0.7017420530069739
g7	g2	0.6194481410348114
g2	g7	0.6194481410348114
g3	g1	0.3545796404859777
g1	g3	0.3545796404859777
g3	g7	0.3281492292024157
g7	g3	0.3281492292024157
g6	g2	0.15640795888827147
g2	g6	0.15640795888827147
g4	g2	0.13778874750582515
g2	g4	0.13778874750582515
g8	g3	0.07006739273216757
g3	g8	0.07006739273216757
