Gene1	Gene2	EdgeWeight
g2	g3	2.0
g7	g3	2.0
g1	g3	0.5
g6	g3	0.5
g3	g6	0.22221999999999997
g7	g1	0.125
g3	g4	0.125
g4	g3	0.08
g7	g8	0.05555
g8	g3	0.02469
g7	g4	0.02469
g1	g2	0.02
g6	g8	0.02
g4	g7	0.013880000000000002
g1	g4	0.01183
g1	g4	0.01183
g4	g8	0.0102
g7	g2	0.0102
g6	g4	0.008879999999999999
g6	g1	0.00692
g1	g6	0.00692
g2	g6	0.00617
g4	g1	0.00617
g2	g4	0.00554
g6	g2	0.00413
g8	g1	0.0037799999999999995
g8	g2	0.0034700000000000004
g6	g7	0.0034700000000000004
g4	g2	0.0032
g8	g6	0.00274
g2	g8	0.0022199999999999998
g1	g7	0.0022199999999999998
g7	g6	0.0020800000000000003
g7	g6	0.0020800000000000003
g2	g1	0.00195
g8	g7	0.00173
g2	g7	0.00173
g1	g8	0.0016300000000000002
g4	g6	0.0015400000000000001
g3	g8	0.00146
g3	g1	0.0013800000000000002
g3	g7	0.00118
g3	g2	0.00108
g8	g4	0.0009
g8	g4	0.0009
