Gene1	Gene2	EdgeWeight
g3	g6	19.2210048761145
g6	g1	18.145715457271198
g4	g3	17.940265168769802
g3	g2	15.861641741603195
g4	g6	15.7183906989797
g6	g6	15.531262311635697
g3	g1	14.5394701496363
g6	g2	14.4344794610838
g1	g1	13.9306069246427
g3	g4	13.644501176825699
g8	g1	13.1442304389955
g4	g4	12.0278051011394
g3	g3	11.767036477853999
g8	g3	11.211762132106399
g4	g1	10.859298049600199
g2	g1	10.5830012498356
g1	g6	10.360984765737
g4	g2	10.279191113682
g6	g4	10.2528634701834
g6	g3	9.99127210288212
g7	g3	9.73443396618838
g1	g3	9.56330857371119
g8	g6	9.5211225200109
g8	g2	7.84650182900021
g1	g2	7.70898048170962
g7	g7	6.8787562219329
g6	g8	6.507602448578732
g1	g8	6.30493817432178
g2	g6	6.1103443283528485
g4	g7	5.891546077703309
g8	g4	5.86808863176139
g8	g8	5.17673067663204
g6	g7	5.0892533097170585
g2	g3	4.87829643689966
g3	g8	4.6871264651640585
g1	g7	4.46384580302429
g2	g2	4.37916543107795
g2	g8	4.20039883803106
g1	g4	3.5060222252659603
g7	g4	3.0736330071016096
g2	g7	3.06107471491099
g4	g8	3.0421288774634
g3	g7	3.0197871402936696
g8	g7	2.66145916807222
g7	g6	2.5316769407041697
g7	g8	1.6701977257753997
g7	g1	1.64739875489869
g7	g2	1.1595092212641
g2	g4	0.9761881786391892
