Gene1	Gene2	EdgeWeight
g2	g1	160.0535657246247
g1	g6	152.6766821219836
g7	g4	138.37914752227428
g8	g4	134.8300819276327
g8	g7	132.0121299304715
g4	g6	131.60976462898842
g7	g8	128.75098110822051
g1	g2	124.3756611527785
g6	g1	124.33949689429808
g6	g4	117.26002100531231
g4	g7	105.82301556764881
g8	g1	101.25413187159428
g8	g6	92.25928176877414
g7	g1	92.03547564139122
g7	g6	88.57100988522224
g4	g3	77.64329535546987
g2	g6	76.56833243309822
g1	g4	75.4882515888743
g1	g7	71.51373760543291
g4	g8	68.12352081551126
g4	g1	65.87938201558393
g3	g6	62.31492916193345
g3	g4	61.429449074854034
g2	g3	57.8777113572134
g1	g8	56.97340155674973
g6	g3	56.476703552357435
g3	g2	56.43370452312745
g6	g8	50.05970197978509
g2	g4	49.61304888105235
g6	g7	46.59777676132835
g8	g2	41.25529888238306
g2	g8	40.171715175436866
g6	g2	39.625576633417076
g7	g2	38.88362953285176
g2	g7	28.636774008435978
g4	g2	27.42612927544216
g1	g3	21.52499165884128
g7	g3	18.806523279465395
g3	g1	17.43794785250788
g8	g3	16.670774796652594
g3	g8	12.920679364296598
g3	g7	9.416566126682431
