Gene1	Gene2	EdgeWeight
g8	g7	0.4185984677850841
g7	g8	0.382601112997648
g1	g2	0.3628173461049407
g6	g3	0.2942382363459261
g2	g1	0.2903914970570448
g7	g4	0.2816947815379596
g1	g6	0.2463045328608709
g4	g6	0.2319807854180271
g4	g3	0.2248058293376007
g4	g7	0.21703956158595614
g8	g4	0.20942433351420436
g7	g1	0.2035006407015155
g6	g4	0.20029953113578505
g2	g3	0.19883907614168567
g6	g1	0.192689279335084
g4	g8	0.1822448204406232
g8	g2	0.17656983244595395
g1	g7	0.1648828719816668
g3	g2	0.1592591294168472
g1	g8	0.1581351580633072
g8	g6	0.14713881727932152
g3	g6	0.14451232478622533
g1	g4	0.14188565654685836
g6	g8	0.14107109429846704
g8	g1	0.13812539599915713
g7	g6	0.13084104139994293
g4	g1	0.12551169507851448
g7	g2	0.1178061254943912
g6	g7	0.11438691041006235
g1	g3	0.10211585195225946
g6	g2	0.10060247556622837
g2	g8	0.10026239797801273
g2	g6	0.09922249825561216
g3	g4	0.09268344523750703
g8	g3	0.09220224986751947
g7	g3	0.08779875635500901
g4	g2	0.08294509097163873
g2	g4	0.07401225202768508
g2	g7	0.062803840861358
g3	g1	0.04978149182868406
g3	g8	0.035685416221942066
g3	g7	0.02228834737587241
