Gene1	Gene2	EdgeWeight
g6	g6	1.0
g3	g3	1.0
g2	g2	1.0
g3	g3	1.0
g4	g4	1.0
g1	g8	1.0
g8	g8	1.0
g6	g8	1.0
g1	g1	1.0
g7	g7	1.0
g6	g6	1.0
g1	g1	1.0
g7	g4	1.0
g1	g8	1.0
g6	g4	1.0
g4	g8	0.9999959999999999
g1	g2	0.999986
g2	g3	0.999985
g8	g2	0.9999809999999999
g6	g3	0.9999629999999999
g4	g7	0.9997469999999999
g8	g1	0.999692
g2	g1	0.999685
g7	g8	0.99882
g2	g8	0.997956
g7	g6	0.972881
g8	g6	0.970609
g3	g2	0.963217
g2	g4	0.9528610000000001
g3	g6	0.9404239999999999
g6	g1	0.933998
g8	g7	0.9058809999999999
g3	g4	0.89964
g4	g3	0.8830020000000001
g6	g7	0.855384
g4	g6	0.815109
g7	g3	0.760603
g1	g7	0.712512
g1	g6	0.663673
g2	g6	0.615909
g4	g1	0.489034
g4	g2	0.45801800000000004
g8	g3	0.400875
g6	g2	0.371435
g7	g1	0.333928
g2	g7	0.27014099999999996
g7	g2	0.264955
g3	g1	0.17632799999999998
g8	g4	0.16911700000000002
g3	g7	0.138915
g1	g3	0.095601
g1	g4	0.094016
g3	g8	0.053797000000000005
