Gene1	Gene2	EdgeWeight
g1	g2	0.11777486288822198
g3	g6	0.0999591855615461
g1	g3	0.0978017501922694
g4	g7	0.0976542146592512
g1	g6	0.0938761736292864
g7	g6	0.09211368603939099
g8	g6	0.0919663190201558
g6	g7	0.0917208982479788
g2	g3	0.0810209000848804
g4	g3	0.0786544295591377
g8	g7	0.0781626762466862
g6	g4	0.0779172689469548
g6	g1	0.0729760439242293
g4	g1	0.06883336102236999
g4	g8	0.0683982807108034
g2	g6	0.0679204534240519
g6	g8	0.0650958550596536
g3	g4	0.062040440955444
g6	g3	0.0614994023267939
g2	g8	0.0596447966505005
g1	g4	0.0579950636855828
g3	g2	0.0575589105528984
g7	g3	0.0556875904356283
g3	g7	0.0555281661761827
g8	g3	0.0554029590705762
g8	g1	0.0506669078134347
g6	g2	0.0491351715050657
g4	g2	0.0397969653220392
g1	g7	0.0376427131076492
g2	g4	0.0367274444429293
g8	g4	0.0358902164034079
g4	g6	0.0335039684861106
g7	g4	0.0326397267250827
g3	g8	0.0296326774678476
g2	g1	0.026543463087521
g7	g2	0.0256354998762578
g2	g7	0.0252756346108777
g3	g1	0.0240548171704575
g8	g2	0.0218546617790711
g1	g8	0.0199517631471413
g7	g8	0.0195225954765977
g7	g1	0.0186062770727607
