,dyn-BFC_500_0,dyn-BFC_500_1,dyn-BFC_500_2,dyn-BFC_500_3,dyn-BFC_500_4,dyn-BFC_500_5,dyn-BFC_500_6,dyn-BFC_500_7,dyn-BFC_500_8,dyn-BFC_500_9,dyn-BFC_2000_0,dyn-BFC_2000_1,dyn-BFC_2000_2,dyn-BFC_2000_3,dyn-BFC_2000_4,dyn-BFC_2000_5,dyn-BFC_2000_6,dyn-BFC_2000_7,dyn-BFC_2000_8,dyn-BFC_2000_9,dyn-BFC_5000_0,dyn-BFC_5000_1,dyn-BFC_5000_2,dyn-BFC_5000_3,dyn-BFC_5000_4,dyn-BFC_5000_5,dyn-BFC_5000_6,dyn-BFC_5000_7,dyn-BFC_5000_8,dyn-BFC_5000_9
GENIE3,0.3310950184476302,0.34080397547230135,0.29859216635186114,0.3403067670553286,0.34226223632072267,0.32962872351344824,0.3309004953910555,0.3494490957167746,0.34661811798523096,0.34166449202872495,0.34141216454743817,0.34427049587117936,0.33950422228021016,0.3358444425033053,0.3261654717433008,0.335992040542096,0.3297411107689896,0.3318071931271368,0.3253247430944789,0.33080301813243657,0.33414478628905264,0.3528769226769055,0.33272888313876814,0.33527963555304413,0.32354130617673543,0.32888234167085073,0.33168340326444135,0.336004024597437,0.33129626791161215,0.33011972674573453
GRISLI,0.3872301799441144,0.3539100049775786,0.4162002800976941,0.3577064807409262,0.45245770119565043,0.3697404591561473,0.35198495446406314,0.38054806063518587,0.4565818545445528,0.325467200360703,0.35658526388723566,0.38462853786316853,0.3579487474082978,0.35065088087454205,0.37678759347569324,0.3874649429707798,0.30503192806121404,0.30578436094951517,0.45998516754230967,0.3123818995178273,0.38427522832661576,0.42015816245474724,0.3328571952504488,0.3889279283916359,0.3666631744704737,0.38361489562556883,0.43775519882416436,0.445887277906736,0.41150800902788154,0.39984969908434
GRNBOOST2,0.3241145994445153,0.3624789166925903,0.3920507597323357,0.345026094241629,0.35497319035980535,0.37895357598542534,0.3670658702617426,0.37725173378293986,0.4020925971649771,0.3450295063820676,0.35013945910564903,0.4039930622402232,0.3451537214623143,0.34852991475078415,0.38931048789132716,0.37349755559277714,0.3408851184395642,0.36348386255194826,0.35298498049054217,0.3534601593874702,0.37929114767595173,0.3716235881275592,0.3973228316790914,0.3803866278550996,0.35913953398389886,0.3476491085206533,0.37309786049809834,0.35762572548425947,0.37941157301695705,0.3627200474449507
GRNVBEM,0.42229901430701744,0.5189715346072257,0.5311716717005495,0.49669432681022474,0.5182850803419612,0.5407703888394475,0.6041149528886435,0.48573350155626366,0.4593088921579204,0.4810710911900242,0.4421529851731123,0.5293264330309676,0.4958165445827871,0.5200421578933769,0.5165515402437784,0.47451455310691687,0.4501532311264442,0.5617881051959794,0.45903703021452225,0.43400615154061917,0.47583237398014505,0.48538830997100035,0.4449275590397544,0.568124029491048,0.508040704265585,0.4946611682082771,0.46327489669357774,0.5075252485184558,0.4712205451068858,0.48165648738625677
LEAP,0.39386615902333244,0.40922909459068896,0.3472457191367551,0.36886752068777473,0.500809364133139,0.42785072243677524,0.4291382242321582,0.42748187679632016,0.3770480553768532,0.41392538733970957,0.3844926548712589,0.379227308691209,0.3791956743866663,0.37266527900155105,0.38566138484568346,0.3781696346880322,0.3743846018311419,0.38867767656843993,0.36788182498421057,0.3896104035333501,0.45897383011331316,0.45487326885438695,0.41868441261391504,0.4402405848372585,0.4483298561881378,0.42182464465879765,0.4364132493254065,0.4350257654340943,0.4299387860212578,0.43566294465648275
PIDC,0.37278938033147313,0.3472925691003166,0.36484016944869363,0.3712879408515783,0.4009630882736965,0.3419817165966564,0.32326027573105076,0.4907126622000765,0.35446215869981973,0.363391228839993,0.39906799353371925,0.39201174426580104,0.38666001662499155,0.3943266414467603,0.3892281530283104,0.38651305575325184,0.4190088966659402,0.3926827405310425,0.384769208860908,0.3866380522585109,0.39194924943116727,0.39253879537032266,0.3794517192556616,0.3838320529303501,0.38817782258567013,0.3929677783789625,0.39843285308657406,0.39553874897565594,0.3946445091417876,0.3876036535963006
PPCOR,0.46460475798711093,0.4635561334090746,0.46222504483533894,0.46396054517378044,0.4406379976232917,0.4574317203264571,0.4379006004315602,0.44985282147046846,0.4415957408604467,0.4816692664061085,0.4630977068908103,0.45845483848013835,0.4664508915414088,0.47526161161843317,0.4628791621814877,0.46062431395764725,0.4569153147993103,0.482847442680776,0.45526803656114,0.4640049434836186,0.46351830404526484,0.4631242114367114,0.4850387872531689,0.4647126820312304,0.4732352111970272,0.4710336066657905,0.44838713991953555,0.4262769495045941,0.47170258907758905,0.4456340253484071
SCINGE,0.5592813301764483,0.3936934160917331,0.4356271774870135,0.3875072634264348,0.4023350163728089,0.18595435401004484,0.39908040636946396,0.3114302880734318,0.37777777777777777,0.4338154825912184,0.596055102466968,0.4503316095619937,0.5695684546828712,0.5903176563273559,0.5639970760233918,0.5598757168821348,0.7328175380035589,0.6888704649593339,0.49299820459134186,0.5408863224265701,0.38740462110174867,0.30406948777695997,0.3029986247508263,0.415977284073775,0.25603171657265117,0.3431656491143882,0.304314106223379,0.4486960675106711,0.35437017474625204,0.3895015731872752
SCNS,0.29913165370626316,0.31148557398004706,0.21329013729962498,0.30085180155889535,0.24445316068266887,0.35085470085470083,0.2744116069116069,0.5709967320261438,0.2372385947385947,0.41037037037037033,0.2775747933582035,0.25371939088179973,0.26774946470598643,0.2849869966819119,0.25787396232439336,0.27085137085137084,0.26714854111405834,0.25727822380810783,0.2689471347424629,0.2874170341840631,0.24739064318542872,0.22454361054766733,0.24610754731923656,0.24890765208369567,0.2388105413105413,0.2477103382452846,0.262238620657343,0.22366020984665053,0.2766967664258686,0.3535480859010271
SCODE,0.23582532279666352,0.21378296195641397,0.27739164402240757,0.2484181195533272,0.22812930287271854,0.24872170984401076,0.2415612890220327,0.23335476656586984,0.23387334105092816,0.26402678542374486,0.22554654218951695,0.24827706573400052,0.2168125885914381,0.23768691881624615,0.2668031484239405,0.22382547851306478,0.19265076893239855,0.21720005610327592,0.22720006294527542,0.2588726965099401,0.2109667098914706,0.1932375536939084,0.2498820388649836,0.20708286715059063,0.24800148763379862,0.24319466211886487,0.21390703613068626,0.2608063821248133,0.23624062615476948,0.22487643205057475
SCRIBE,0.37475116472610664,0.45565604234381973,0.4172114043361152,0.37212258085835265,0.5661755882660996,0.3751930277479885,0.44946221392420593,0.4180697910581467,0.6014130809818536,0.23982275285746268,0.3278185506730077,0.6276174269637618,0.4502544388815408,0.5549688403878839,0.6502035195431016,0.40314804841899105,0.5284325776505651,0.5434368669916203,0.4770392156709748,0.34190155286165835,0.5024327634484282,0.6049726595238206,0.6091201792638422,0.7116110158518608,0.5139751770452402,0.5361061180785607,0.6611826350901935,0.6407768505621918,0.5732000112919484,0.7303157063430963
SINCERITIES,0.5244623269615849,0.6687165030829907,0.4967125956702974,0.29658643948647045,0.44012113007317344,0.3306932185704184,0.5295345392759829,0.47133224449108313,0.32669263423290434,0.3964458629732556,0.6414606060475346,0.5701411553373377,0.5666545416656675,0.5055441686967174,0.638786706750676,0.5523977061682832,0.6902442686935574,0.6576537078985862,0.5146303995070621,0.5934956035370405,0.5841016688420674,0.646102968861207,0.6867558655846309,0.5891173020452137,0.5972637083891117,0.5840991508151633,0.6166174340461775,0.6192009803073956,0.5879689193400404,0.672311796496579
