,dyn-BFC_500_0,dyn-BFC_500_1,dyn-BFC_500_2,dyn-BFC_500_3,dyn-BFC_500_4,dyn-BFC_500_5,dyn-BFC_500_6,dyn-BFC_500_7,dyn-BFC_500_8,dyn-BFC_500_9,dyn-BFC_2000_0,dyn-BFC_2000_1,dyn-BFC_2000_2,dyn-BFC_2000_3,dyn-BFC_2000_4,dyn-BFC_2000_5,dyn-BFC_2000_6,dyn-BFC_2000_7,dyn-BFC_2000_8,dyn-BFC_2000_9,dyn-BFC_5000_0,dyn-BFC_5000_1,dyn-BFC_5000_2,dyn-BFC_5000_3,dyn-BFC_5000_4,dyn-BFC_5000_5,dyn-BFC_5000_6,dyn-BFC_5000_7,dyn-BFC_5000_8,dyn-BFC_5000_9
GENIE3,0.7724444444444445,0.7591111111111111,0.7484444444444445,0.7777777777777778,0.7777777777777778,0.7768888888888889,0.7582222222222222,0.7582222222222222,0.7733333333333333,0.7617777777777778,0.7822222222222222,0.7786666666666666,0.7671111111111111,0.7795555555555556,0.7724444444444445,0.7706666666666666,0.7759999999999999,0.7786666666666666,0.7751111111111111,0.7733333333333333,0.7742222222222223,0.784888888888889,0.7742222222222221,0.7795555555555556,0.7697777777777778,0.7724444444444445,0.7724444444444445,0.7751111111111111,0.7742222222222223,0.7786666666666666
GRISLI,0.7324444444444445,0.7711111111111112,0.7488888888888889,0.744,0.7955555555555556,0.7786666666666667,0.7013333333333334,0.7297777777777779,0.7582222222222222,0.7515555555555555,0.7502222222222221,0.8084444444444444,0.7604444444444445,0.7577777777777778,0.7715555555555556,0.7662222222222222,0.7462222222222222,0.78,0.7902222222222222,0.7515555555555555,0.7777777777777778,0.7831111111111111,0.7648888888888888,0.7857777777777778,0.7857777777777778,0.7817777777777778,0.7831111111111111,0.7915555555555556,0.7924444444444445,0.7604444444444445
GRNBOOST2,0.7537777777777778,0.776,0.736,0.7617777777777778,0.776,0.784,0.7448888888888888,0.7511111111111111,0.7493333333333334,0.7804444444444445,0.7857777777777778,0.7786666666666666,0.7608888888888887,0.7884444444444444,0.7928888888888889,0.792,0.7813333333333333,0.7795555555555556,0.7875555555555556,0.7795555555555556,0.7911111111111111,0.7795555555555556,0.8017777777777778,0.7955555555555555,0.7875555555555556,0.7751111111111111,0.7857777777777777,0.7928888888888889,0.7991111111111111,0.7831111111111111
GRNVBEM,0.800888888888889,0.8142222222222222,0.8355555555555556,0.8497777777777777,0.835111111111111,0.8524444444444444,0.8688888888888888,0.8355555555555555,0.8195555555555556,0.8160000000000001,0.7906666666666666,0.8551111111111112,0.7791111111111112,0.812,0.8008888888888889,0.808888888888889,0.7813333333333333,0.8537777777777777,0.7946666666666666,0.7879999999999999,0.7831111111111111,0.744,0.7391111111111112,0.8097777777777778,0.7373333333333334,0.7786666666666666,0.7471111111111111,0.7964444444444444,0.7315555555555555,0.7906666666666666
LEAP,0.8044444444444444,0.7973333333333333,0.7848888888888889,0.8017777777777777,0.8097777777777777,0.784888888888889,0.8035555555555556,0.7866666666666666,0.7724444444444445,0.8133333333333332,0.8275555555555556,0.8235555555555555,0.8226666666666667,0.8146666666666667,0.8324444444444445,0.8253333333333334,0.8293333333333333,0.8457777777777777,0.8182222222222222,0.8333333333333333,0.8337777777777777,0.8302222222222222,0.8311111111111111,0.8231111111111111,0.8275555555555556,0.8231111111111111,0.8213333333333334,0.8257777777777777,0.8266666666666667,0.8240000000000001
PIDC,0.7168888888888888,0.7204444444444444,0.7186666666666666,0.7133333333333334,0.7506666666666666,0.692,0.7026666666666667,0.7382222222222222,0.7311111111111112,0.6848888888888889,0.7364444444444443,0.7328888888888889,0.7097777777777778,0.7186666666666667,0.7097777777777777,0.7186666666666666,0.7346666666666667,0.7222222222222222,0.7204444444444444,0.708,0.724,0.7168888888888889,0.7151111111111111,0.7115555555555556,0.6991111111111111,0.7115555555555555,0.7346666666666667,0.7275555555555555,0.7222222222222221,0.7168888888888889
PPCOR,0.827111111111111,0.8026666666666666,0.8093333333333333,0.827111111111111,0.8057777777777778,0.7955555555555556,0.8173333333333335,0.8004444444444445,0.7631111111111111,0.828888888888889,0.8097777777777778,0.8413333333333334,0.8315555555555555,0.8422222222222222,0.8355555555555556,0.8266666666666667,0.8262222222222222,0.8355555555555556,0.8075555555555556,0.8195555555555556,0.8324444444444443,0.8373333333333334,0.8435555555555555,0.8302222222222222,0.8444444444444444,0.8462222222222223,0.8177777777777778,0.8346666666666667,0.843111111111111,0.8386666666666667
SCINGE,0.8884444444444445,0.8453333333333334,0.8751111111111112,0.7644444444444444,0.8222222222222222,0.6075555555555556,0.8671111111111112,0.6413333333333333,0.5271111111111112,0.7542222222222223,0.9293333333333333,0.8622222222222222,0.8440000000000001,0.8764444444444445,0.9,0.8631111111111112,0.9146666666666666,0.9302222222222223,0.872,0.836888888888889,0.7693333333333333,0.7564444444444445,0.7404444444444445,0.8293333333333334,0.7124444444444444,0.7911111111111111,0.7604444444444446,0.8702222222222222,0.7782222222222221,0.7644444444444444
SCNS,0.6595555555555556,0.6586666666666667,0.6439999999999999,0.6862222222222223,0.5831111111111111,0.5222222222222223,0.6191111111111112,0.7657777777777778,0.5493333333333333,0.6888888888888889,0.636,0.5871111111111111,0.6204444444444446,0.6582222222222223,0.6048888888888888,0.6666666666666666,0.6080000000000001,0.5733333333333334,0.6195555555555556,0.6506666666666667,0.6084444444444445,0.5488888888888889,0.6164444444444444,0.6315555555555556,0.5586666666666666,0.5813333333333334,0.5413333333333332,0.6071111111111112,0.5417777777777778,0.6075555555555555
SCODE,0.6551111111111111,0.616,0.6657777777777778,0.6755555555555555,0.6613333333333333,0.696,0.6808888888888889,0.6888888888888889,0.6426666666666666,0.72,0.6897777777777778,0.6702222222222223,0.6462222222222223,0.6542222222222223,0.728,0.6471111111111112,0.5955555555555556,0.6248888888888888,0.6373333333333333,0.7271111111111112,0.6204444444444445,0.5946666666666667,0.7013333333333334,0.6160000000000001,0.6933333333333334,0.6817777777777778,0.6426666666666666,0.7155555555555555,0.6488888888888888,0.6293333333333333
SCRIBE,0.6835555555555555,0.8168888888888889,0.8231111111111111,0.6773333333333333,0.8293333333333333,0.6942222222222222,0.7591111111111111,0.8293333333333333,0.8524444444444444,0.6622222222222222,0.7617777777777777,0.8426666666666667,0.7333333333333334,0.8186666666666668,0.8524444444444446,0.7457777777777779,0.7848888888888889,0.8568888888888889,0.7706666666666666,0.744,0.7999999999999999,0.888,0.8275555555555556,0.8737777777777778,0.8604444444444445,0.8622222222222222,0.8791111111111112,0.8524444444444444,0.8008888888888889,0.8488888888888889
SINCERITIES,0.7453333333333334,0.8079999999999998,0.8044444444444444,0.7671111111111111,0.8306666666666667,0.7644444444444445,0.8133333333333334,0.8328888888888889,0.7551111111111112,0.7888888888888889,0.8946666666666666,0.8337777777777777,0.8084444444444445,0.8093333333333332,0.8337777777777777,0.808,0.8799999999999999,0.8035555555555556,0.8266666666666665,0.8133333333333334,0.8115555555555556,0.8559999999999999,0.8382222222222222,0.8137777777777777,0.8182222222222222,0.8320000000000001,0.8586666666666667,0.8262222222222222,0.8400000000000001,0.8648888888888889
