,dyn-BFC_500_0,dyn-BFC_500_1,dyn-BFC_500_2,dyn-BFC_500_3,dyn-BFC_500_4,dyn-BFC_500_5,dyn-BFC_500_6,dyn-BFC_500_7,dyn-BFC_500_8,dyn-BFC_500_9,dyn-BFC_2000_0,dyn-BFC_2000_1,dyn-BFC_2000_2,dyn-BFC_2000_3,dyn-BFC_2000_4,dyn-BFC_2000_5,dyn-BFC_2000_6,dyn-BFC_2000_7,dyn-BFC_2000_8,dyn-BFC_2000_9,dyn-BFC_5000_0,dyn-BFC_5000_1,dyn-BFC_5000_2,dyn-BFC_5000_3,dyn-BFC_5000_4,dyn-BFC_5000_5,dyn-BFC_5000_6,dyn-BFC_5000_7,dyn-BFC_5000_8,dyn-BFC_5000_9
GENIE3,64.21,64.72,70.03,67.03,60.61,57.29,58.65,51.14,52.47,56.88,160.82,170.05,161.77,158.51,176.4,158.64,166.23,143.7,159.4,160.95,365.18,378.23,386.65,379.28,399.23,376.96,387.54,381.85,402.74,374.9
GRISLI,429.07,329.27,565.6800000000001,452.43,491.0,461.66,238.48000000000002,180.3,257.84000000000003,524.31,567.33,581.77,549.76,566.1800000000001,583.3499999999999,550.51,372.74,440.86,479.42999999999995,501.70000000000005,471.96000000000004,459.86,506.88,567.56,649.8199999999999,656.11,702.12,649.11,658.15,612.81
GRNBOOST2,14.49,12.49,14.79,13.89,14.87,16.1,12.51,11.17,12.32,16.31,48.87,49.26,48.11,48.32,48.21,46.0,48.03,41.89,45.57,45.68,84.84,85.89,88.57,94.25,102.79,87.37,95.81,84.77,81.56,85.2
GRNVBEM,41.14,40.34,44.34,47.57,44.27,49.010000000000005,39.95,36.83,35.97,42.599999999999994,47.290000000000006,56.5,54.53,48.03,56.510000000000005,53.08,56.150000000000006,46.79,47.74,55.120000000000005,89.87,87.19999999999999,96.67,88.59,97.80000000000001,94.39,93.3,98.71000000000001,94.78999999999999,90.18
LEAP,4.9399999999999995,4.8100000000000005,4.74,5.32,5.92,4.87,5.29,4.86,4.96,5.3100000000000005,48.04,53.08,55.41,54.66,53.379999999999995,51.11,46.92,48.92,51.86,46.47,440.75,417.28999999999996,454.69,456.83,430.88,421.44,426.64,448.66999999999996,445.85,437.38
PIDC,28.1,26.3,32.77,31.27,28.73,29.29,28.48,26.29,26.45,27.83,31.46,37.48,35.87,31.09,36.48,31.28,32.3,30.76,30.6,35.2,41.35,41.06,43.6,40.76,47.86,49.84,42.74,48.08,46.72,43.61
PPCOR,0.36,0.42,0.42,0.38,0.46,0.37,0.36,0.35,0.42,0.41,1.03,1.08,1.15,1.63,1.11,1.16,1.01,1.07,0.99,1.05,3.93,3.93,4.53,3.94,4.02,3.99,4.05,4.04,4.13,3.98
SCINGE,125.36,130.35000000000002,136.69,135.25,146.03,120.61,129.8,123.38999999999999,112.78999999999999,127.80000000000001,475.27,623.3800000000001,455.46000000000004,435.39,573.06,408.21,328.1,494.99,454.40999999999997,311.12,1662.42,2202.89,2885.85,1861.4900000000002,1848.98,2529.17,2324.0299999999997,1065.45,2034.95,1699.75
SCNS,28.25,25.62,22.82,25.62,27.07,20.04,29.32,27.21,21.46,25.18,54.62,52.85,43.52,46.9,51.02,42.43,38.86,48.83,47.4,30.2,84.1,71.32,77.45,48.81,61.7,50.86,40.35,49.29,60.84,52.98
SCODE,453.85,458.11,475.93,475.77,498.52,498.09,472.5,458.71000000000004,473.22,493.68,1049.19,1025.98,1028.8,1032.77,990.87,1003.19,981.0999999999999,986.5,1013.5600000000001,998.61,2045.7,1980.83,1945.54,1969.5300000000002,2002.6599999999999,2041.36,2107.69,2146.2799999999997,2172.76,2182.92
SCRIBE,14.6,14.21,14.68,15.14,14.45,16.89,13.870000000000001,15.87,13.52,15.860000000000001,51.32,41.81,43.290000000000006,43.61,45.18,52.150000000000006,47.86,48.629999999999995,51.45,48.74,152.33999999999997,137.71,132.51999999999998,136.38,135.7,133.07,137.02999999999997,139.34,138.32,144.87
SINCERITIES,6.14,6.09,6.54,7.5600000000000005,6.54,6.9399999999999995,6.33,5.7,5.71,6.48,6.960000000000001,8.16,7.62,7.26,8.93,9.0,6.800000000000001,6.130000000000001,6.4399999999999995,7.58,6.77,6.52,7.609999999999999,6.869999999999999,7.720000000000001,8.91,7.119999999999999,7.07,7.26,6.949999999999999
