Gene1	Gene2	EdgeWeight
g6	g5	99
g2	g4	98
g1	g1	97
g6	g8	96
g9	g10	95
g4	g6	94
g2	g3	93
g2	g6	92
g9	g6	91
g7	g1	90
g7	g6	89
g10	g4	88
g5	g1	87
g1	g3	86
g8	g6	85
g5	g4	84
g10	g9	83
g8	g4	82
g1	g6	81
g3	g2	80
g10	g2	79
g3	g8	78
g4	g8	77
g9	g1	76
g8	g5	75
g1	g2	74
g4	g3	73
g7	g5	72
g6	g4	71
g9	g8	70
g5	g6	69
g6	g10	68
g4	g5	67
g2	g1	66
g4	g1	65
g3	g1	64
g5	g2	63
g3	g10	62
g8	g3	61
g8	g9	60
g3	g4	59
g2	g10	58
g10	g10	57
g5	g8	56
g5	g3	55
g9	g3	54
g8	g8	53
g3	g9	52
g7	g7	51
g10	g3	50
g3	g3	49
g4	g2	48
g7	g9	47
g6	g1	46
g7	g4	45
g10	g8	44
g10	g1	43
g1	g10	42
g1	g9	41
g1	g8	40
g9	g4	39
g7	g2	38
g8	g10	37
g6	g9	36
g6	g3	35
g7	g8	34
g5	g7	33
g6	g6	32
g2	g5	31
g7	g3	30
g9	g9	29
g4	g4	28
g10	g6	27
g6	g2	26
g3	g6	25
g9	g2	24
g2	g2	23
g8	g2	22
g6	g7	21
g8	g7	20
g4	g9	19
g2	g9	18
g2	g8	17
g5	g9	16
g5	g10	15
g7	g10	14
g8	g1	13
g4	g10	12
g10	g5	11
g5	g5	10
g1	g4	9
g4	g7	8
g9	g7	7
g1	g7	6
g10	g7	5
g2	g7	4
g3	g7	3
g9	g5	2
g1	g5	1
g3	g5	0
