Gene1	Gene2	EdgeWeight
g6	g8	1.56540296470239
g7	g9	1.0749752255622
g9	g1	1.03038126353778
g7	g8	1.0
g8	g9	1.0
g2	g3	0.916231593748341
g6	g9	0.828920983020034
g10	g2	0.8281171277780351
g1	g2	0.7459946045497209
g9	g10	0.657409737095263
g5	g7	0.6046930138883629
g10	g1	0.5350688601764589
g6	g6	0.5350539425604129
g4	g6	0.5177394465401021
g1	g1	0.45882292240338196
g8	g10	0.45258104451587794
g3	g5	0.449044809392365
g4	g7	0.44780256461747897
g1	g3	0.40601065237089595
g9	g9	0.386647636486694
g10	g3	0.383279334107282
g3	g3	0.3783740994705229
g5	g6	0.36598011878081105
g10	g10	0.34175771477184896
g5	g1	0.321598727007031
g2	g2	0.307828790651509
g9	g2	0.291238054362323
g5	g5	0.286852745109513
g8	g8	0.27889605264582107
g5	g8	0.271130500996498
g6	g2	0.24233819049234603
g4	g8	0.238856768910385
g3	g6	0.214984625393162
g2	g5	0.20945749638894898
g9	g6	0.20929356065863602
g7	g6	0.208971015982555
g9	g7	0.19691686475146103
g1	g10	0.17867741796174103
g6	g1	0.17717996182550302
g4	g9	0.153258159243486
g8	g1	0.14507119924528197
g8	g6	0.14134958293487
g6	g10	0.0886473548566523
g3	g7	0.0561226126958913
g4	g1	0.0502647299945927
g5	g2	0.0488739377508183
g7	g5	0.0379140908275133
g5	g9	0.0260585300228728
g4	g5	0.0259915284797214
g4	g10	0.0256117098484978
g6	g7	0.0240875339147054
g3	g4	0.0215454579333672
g5	g10	0.0201446692172503
g2	g4	0.0160531551647343
g4	g2	0.0133385097581455
g7	g1	0.007548687734077041
g8	g5	0.00600441904662124
g9	g5	0.00266088292571608
g7	g7	0.0023034631455268
g6	g4	0.0018271592256342399
g8	g4	3.0795026466386596e-36
g9	g4	2.7995460791485398e-36
g7	g4	1.5396892643363702e-36
g2	g7	0.0
g10	g6	0.0
g2	g6	0.0
g7	g2	0.0
g8	g2	0.0
g3	g2	0.0
g9	g8	0.0
g1	g8	0.0
g10	g8	0.0
g2	g8	0.0
g3	g8	0.0
g4	g3	0.0
g7	g3	0.0
g9	g3	0.0
g5	g3	0.0
g6	g3	0.0
g1	g6	0.0
g2	g10	0.0
g10	g7	0.0
g7	g10	0.0
g1	g7	0.0
g10	g4	0.0
g1	g4	0.0
g5	g4	0.0
g8	g7	0.0
g4	g4	0.0
g1	g9	0.0
g10	g9	0.0
g2	g9	0.0
g3	g9	0.0
g1	g5	0.0
g10	g5	0.0
g6	g5	0.0
g2	g1	0.0
g3	g1	0.0
g3	g10	0.0
g6	g3	0.0
g8	g3	0.0
g3	g1	0.0
g6	g5	0.0
g10	g5	0.0
g1	g5	0.0
g3	g9	0.0
g2	g9	0.0
g10	g9	0.0
g1	g9	0.0
g8	g7	0.0
g2	g7	0.0
g10	g7	0.0
g1	g7	0.0
g10	g4	0.0
g1	g4	0.0
g5	g4	0.0
g4	g4	0.0
g2	g1	0.0
g7	g10	0.0
g5	g3	0.0
g2	g10	0.0
g9	g3	0.0
g7	g3	0.0
g4	g3	0.0
g3	g8	0.0
g2	g8	0.0
g10	g8	0.0
g1	g8	0.0
g9	g8	0.0
g3	g2	0.0
g8	g2	0.0
g7	g2	0.0
g2	g6	0.0
g10	g6	0.0
g1	g6	0.0
g3	g10	0.0
g8	g3	0.0
