Gene1	Gene2	EdgeWeight
g7	g5	367.64184804186567
g4	g6	331.53569455325777
g6	g4	299.13504936228384
g5	g7	254.0003343797825
g9	g8	246.5828998976757
g8	g9	231.7256116510264
g6	g5	231.68315155745842
g4	g5	222.34328568040792
g9	g5	211.43379181036337
g1	g10	201.95887407012054
g1	g9	194.0573479666563
g10	g1	189.132730774061
g10	g9	189.07626145582776
g1	g2	161.98669203470263
g5	g4	147.3426086100747
g3	g5	146.55643724076918
g9	g4	144.30985766381326
g2	g3	134.53143340391688
g8	g6	129.3720481091539
g5	g6	126.33479073352602
g8	g5	117.62141244024471
g7	g4	116.93847721690292
g9	g10	112.05048799368336
g9	g1	111.35103581434996
g4	g7	110.65141517282446
g8	g7	108.40799943540024
g4	g3	102.81578504424697
g2	g1	101.31061043835041
g3	g4	100.38498334748873
g8	g10	97.58511984234762
g10	g8	92.24891204596534
g2	g10	92.17534732047285
g1	g8	85.31014515300569
g8	g4	83.82435453460809
g10	g2	82.62383012771795
g10	g5	77.81233315138985
g5	g3	77.67886518377242
g1	g5	76.00802092157414
g3	g2	72.30373871077236
g7	g6	69.89437394967251
g8	g3	69.57738179553226
g4	g9	65.8123811393735
g5	g9	65.56475249189334
g6	g7	64.87448376264575
g1	g6	63.701001166803465
g2	g5	59.8997191559266
g10	g4	59.03283275250593
g8	g1	59.011067563663424
g2	g9	58.05744700616042
g10	g6	57.601763462077464
g3	g6	57.52274656248589
g9	g6	56.85996907667524
g10	g7	52.03908241907829
g9	g2	51.691904819514896
g1	g4	48.96303772730337
g3	g7	48.740754459242794
g2	g4	48.06879878501898
g2	g6	47.17761238634777
g6	g3	46.397472732853096
g1	g7	42.548443389871025
g2	g7	42.34514432269985
g7	g3	39.969752374081295
g9	g7	37.392342658455135
g6	g8	36.581367674208906
g4	g10	35.381399784440426
g1	g3	34.54791524241577
g9	g3	33.282353245308265
g3	g8	31.421527156170267
g6	g2	30.8485060556787
g7	g2	29.560770815700735
g8	g2	28.786067768713185
g4	g2	28.455012099503318
g2	g8	28.136437082814336
g10	g3	27.199040977873125
g4	g1	26.99444713527731
g7	g8	26.887324469787288
g5	g8	26.859509635611342
g4	g8	25.97187688476123
g5	g2	25.743477567696143
g5	g10	25.246440123503394
g7	g10	23.804679187799486
g5	g1	19.91334842381756
g6	g10	19.797883379830264
g7	g1	18.97455586401342
g7	g9	18.706039693961745
g6	g1	18.306081557932092
g3	g9	16.992391759495913
g6	g9	16.007766835604738
g3	g1	11.006122428534756
g3	g10	7.999768297802013
