Gene1	Gene2	EdgeWeight
g4	g4	1.0
g6	g6	1.0
g3	g3	1.0
g7	g7	1.0
g2	g2	1.0
g8	g8	1.0
g10	g10	1.0
g1	g1	1.0
g5	g5	1.0
g9	g9	1.0
g8	g9	0.522169848776426
g9	g8	0.522169848776426
g6	g4	0.412106714415738
g4	g6	0.412106714415738
g7	g5	0.377442252634051
g5	g7	0.377442252634051
g10	g1	-0.339133266122632
g1	g10	-0.339133266122632
g5	g4	0.327181431698258
g4	g5	0.327181431698258
g2	g1	0.254322743392034
g1	g2	0.254322743392034
g3	g2	0.241473905606285
g2	g3	0.241473905606285
g4	g3	0.221628897131088
g3	g4	0.221628897131087
g9	g10	0.218093085162904
g10	g9	0.218093085162904
g1	g9	-0.21715847572209102
g9	g1	-0.21715847572209102
g8	g3	0.20776669368774697
g3	g8	0.20776669368774697
g3	g5	0.204619689869418
g5	g3	0.204619689869418
g6	g8	0.193015613933941
g8	g6	0.193015613933941
g6	g5	-0.179130518395538
g5	g6	-0.179130518395538
g8	g7	0.161901904551605
g7	g8	0.161901904551605
g4	g7	-0.15233733195445498
g7	g4	-0.15233733195445498
g8	g10	0.140912900578957
g10	g8	0.140912900578957
g10	g2	-0.13562647096842098
g2	g10	-0.13562647096842098
g1	g6	0.107194649386041
g6	g1	0.107194649386041
g7	g1	0.10300437953920501
g1	g7	0.10300437953920501
g2	g7	0.0923322409443172
g7	g2	0.0923322409443171
g4	g9	-0.0830399211980505
g9	g4	-0.0830399211980504
g9	g5	-0.0829022919393383
g5	g9	-0.0829022919393382
g1	g8	-0.0781904401697668
g8	g1	-0.0781904401697667
g7	g3	0.0733513934727996
g3	g7	0.0733513934727995
g10	g4	-0.0664384558147813
g4	g10	-0.0664384558147813
g9	g3	0.06353902923914001
g3	g9	0.0635390292391399
g5	g8	-0.0608991805179786
g8	g5	-0.0608991805179786
g6	g2	0
g2	g6	0
g4	g1	0
g1	g4	0
g3	g6	0
g6	g3	0
g3	g10	0
g10	g3	0
g2	g4	0
g4	g2	0
g1	g3	0
g3	g1	0
g6	g7	0
g7	g6	0
g9	g2	0
g2	g9	0
g5	g2	0
g2	g5	0
g1	g5	0
g5	g1	0
g10	g7	0
g7	g10	0
g9	g6	0
g6	g9	0
g9	g7	0
g7	g9	0
g10	g5	0
g5	g10	0
g2	g8	0
g8	g2	0
g4	g8	0
g8	g4	0
g10	g6	0
g6	g10	0
