Gene1	Gene2	EdgeWeight
g6	g8	2.0
g7	g8	2.0
g7	g6	0.5
g8	g9	0.22221999999999997
g8	g5	0.125
g4	g6	0.125
g7	g4	0.08
g3	g5	0.05555
g9	g1	0.05555
g2	g3	0.04081
g9	g10	0.03125
g1	g2	0.03125
g7	g5	0.02469
g5	g7	0.02
g6	g5	0.01652
g3	g4	0.01183
g6	g2	0.01183
g8	g4	0.0102
g1	g3	0.0102
g8	g1	0.008879999999999999
g6	g9	0.007809999999999999
g7	g9	0.00617
g10	g2	0.00554
g6	g7	0.00554
g9	g2	0.005
g8	g10	0.004529999999999999
g1	g4	0.00413
g9	g5	0.0037799999999999995
g10	g9	0.0034700000000000004
g5	g8	0.0032
g8	g7	0.00295
g6	g4	0.00295
g4	g7	0.00274
g3	g7	0.00237
g1	g5	0.0022199999999999998
g2	g5	0.0022199999999999998
g7	g2	0.0020800000000000003
g6	g10	0.0020800000000000003
g4	g5	0.00195
g5	g6	0.00173
g9	g3	0.0016300000000000002
g7	g3	0.0013800000000000002
g4	g8	0.00131
g10	g3	0.00131
g9	g4	0.00118
g2	g4	0.0011300000000000001
g10	g4	0.00108
g10	g8	0.00103
g1	g8	0.00098
g2	g8	0.00098
g6	g3	0.0009400000000000001
g6	g3	0.0009400000000000001
g3	g1	0.0009
g4	g2	0.0009
g4	g9	0.00086
g1	g9	0.00086
g8	g6	0.0008300000000000001
g4	g10	0.0007599999999999999
g3	g2	0.00073
g5	g2	0.0007099999999999999
g5	g4	0.0006799999999999999
