Gene1	Gene2	EdgeWeight
g10	g1	0.8717556495226909
g1	g10	0.8717556495226909
g8	g9	0.857688450877351
g9	g10	0.82294606016862
g8	g10	0.8001918616458019
g9	g1	0.790297161082797
g9	g8	0.782655419570231
g8	g1	0.7792401054111329
g10	g9	0.7660629424020059
g4	g6	0.73866758728426
g9	g2	0.735956014119989
g10	g2	0.722472709982077
g5	g7	0.700643906327062
g1	g9	0.6976156665633672
g7	g8	0.645026346235295
g1	g2	0.641029274165658
g8	g4	0.6259892950099211
g8	g2	0.615476252805911
g8	g5	0.6143176405026031
g6	g4	0.611897505755563
g10	g8	0.5827656155987729
g6	g8	0.577469642485343
g3	g8	0.558906748756775
g9	g4	0.535039535952176
g9	g5	0.5283045184425871
g2	g3	0.525492140072117
g1	g8	0.5225466331015309
g4	g5	0.514941385530964
g10	g3	0.511076048000755
g7	g5	0.50542228331126
g5	g4	0.503831868554815
g1	g3	0.4973354805443879
g7	g9	0.484994263772476
g4	g7	0.48379420882160107
g5	g6	0.459291839595742
g4	g9	0.45830950388083397
g8	g7	0.45796134318394
g9	g6	0.45221672747722996
g3	g5	0.451221367656791
g5	g9	0.44435974634997705
g5	g3	0.44027568991227
g6	g3	0.43596404825093105
g9	g3	0.4353972488242321
g4	g3	0.43518116934669704
g3	g4	0.43518116934669704
g3	g6	0.434844542708752
g3	g7	0.429765674495399
g3	g9	0.42831839256318205
g1	g4	0.42496302396728397
g7	g3	0.41966853277798494
g2	g1	0.4077397995137089
g4	g1	0.4054337111256289
g10	g4	0.405141507779498
g7	g4	0.40500580667899394
g8	g3	0.40362225347876207
g4	g8	0.401878479651194
g6	g9	0.398771574676183
g4	g10	0.39359281335375607
g1	g6	0.391671376363137
g10	g5	0.38329696414227704
g9	g7	0.379210744395238
g5	g10	0.37832625596465796
g1	g5	0.37806033584534793
g10	g6	0.3717062163360229
g5	g8	0.36491399695628
g2	g10	0.362514883900128
g6	g5	0.362117336031796
g3	g10	0.350759609478769
g10	g7	0.34965410546370096
g8	g6	0.34941243449247494
g7	g6	0.347145907476186
g4	g2	0.3427115507364669
g3	g1	0.342309795489217
g5	g1	0.340409411367606
g5	g2	0.327731080133614
g3	g2	0.324307313696732
g6	g7	0.31844304596794604
g2	g4	0.31793760758698103
g1	g7	0.31574445997191997
g2	g6	0.31197183942478196
g2	g5	0.30285017435250106
g2	g7	0.277222606469435
g6	g2	0.270046627345278
g6	g1	0.266693964086348
g6	g10	0.256729808954397
g7	g2	0.251105366138856
g7	g10	0.23094056559278303
g7	g1	0.21636891197260502
g2	g9	0.21628290001926198
g2	g8	0.12360958024413099
