Gene1	Gene2	EdgeWeight
g10	g9	7
g8	g9	7
g4	g6	5
g9	g8	5
g9	g5	4
g6	g4	4
g9	g4	4
g5	g7	4
g4	g9	4
g8	g7	3
g6	g9	3
g1	g9	3
g5	g9	3
g7	g9	3
g7	g5	3
g9	g7	3
g4	g7	3
g5	g6	3
g7	g6	3
g1	g10	3
g6	g5	2
g8	g6	2
g10	g5	2
g4	g5	2
g1	g6	2
g9	g6	2
g10	g6	2
g5	g10	2
g1	g7	2
g4	g8	2
g7	g8	2
g6	g7	2
g10	g7	2
g2	g9	2
g8	g4	2
g5	g8	2
g10	g4	2
g6	g8	2
g3	g10	1
g10	g3	1
g2	g10	1
g10	g2	1
g2	g6	1
g3	g6	1
g7	g4	1
g4	g10	1
g3	g9	1
g9	g1	1
g2	g7	1
g3	g4	1
g2	g4	1
g1	g4	1
g1	g5	1
g2	g5	1
g8	g5	1
g3	g5	1
g3	g7	1
g10	g1	1
g5	g4	1
g4	g3	0
g3	g2	0
g7	g3	0
g9	g3	0
g5	g3	0
g2	g8	0
g1	g3	0
g10	g8	0
g1	g8	0
g6	g3	0
g2	g3	0
g3	g8	0
g7	g10	0
g8	g2	0
g6	g2	0
g3	g1	0
g8	g1	0
g6	g10	0
g2	g1	0
g8	g10	0
g6	g1	0
g5	g1	0
g7	g1	0
g4	g1	0
g4	g2	0
g7	g2	0
g9	g2	0
g5	g2	0
g1	g2	0
g9	g10	0
g8	g3	0
