Gene1	Gene2	EdgeWeight
g1	g10	0.5043206381580807
g10	g1	0.4540369501505308
g9	g8	0.4327254206027584
g10	g9	0.3393911166777979
g1	g2	0.31242729829010485
g5	g7	0.3121097486856291
g8	g9	0.29217617455510364
g4	g6	0.28567909229096955
g7	g5	0.2837861512702217
g6	g4	0.2649486177482169
g4	g7	0.228313676757834
g5	g6	0.22095535628471244
g2	g3	0.2136944606095937
g9	g10	0.21173139267547775
g9	g1	0.20687917558039107
g10	g2	0.18487070320218774
g5	g4	0.1808354318703592
g4	g5	0.1737271123295518
g10	g8	0.17163413843553127
g3	g2	0.16124041494669106
g1	g9	0.14864398994121522
g5	g3	0.14738076282406942
g7	g4	0.14629142887325108
g9	g4	0.145194616671588
g9	g5	0.14374251690626955
g6	g5	0.14054383384459776
g2	g1	0.13593016665834864
g8	g3	0.13004087406376869
g4	g3	0.1284778488566169
g8	g7	0.12261988587519615
g8	g6	0.1131405005115898
g2	g10	0.10961941341116288
g1	g8	0.10761871558052967
g7	g6	0.10070401872704644
g9	g3	0.09287907754511583
g9	g2	0.0904425382784995
g8	g10	0.08785429034098195
g8	g1	0.08503704424380965
g6	g7	0.08419897531631007
g6	g3	0.08143838925070614
g3	g4	0.0789951663094088
g7	g3	0.07798338310033978
g8	g4	0.0777001079157837
g3	g5	0.07696145698587499
g8	g5	0.0764042012836096
g1	g3	0.06549979166666743
g5	g9	0.06273976892713651
g10	g3	0.06260541208312231
g7	g8	0.05917196310310052
g6	g8	0.058786876545216415
g3	g6	0.05849906025557481
g3	g7	0.0584744868819024
g1	g6	0.05845234848734096
g4	g9	0.05831852135000142
g6	g2	0.05779546641288163
g9	g6	0.05775557738869426
g10	g6	0.05584579527472705
g7	g2	0.054114734078966505
g10	g4	0.053861791337825635
g10	g7	0.051787460245076536
g8	g2	0.050933470489104585
g1	g7	0.0505515216716405
g10	g5	0.04992374926807778
g9	g7	0.04907788323387164
g2	g6	0.04896825077934494
g5	g8	0.04820770543794469
g5	g2	0.04554730669518396
g2	g9	0.04457189548577862
g4	g8	0.04342530513688273
g2	g7	0.04286636133253957
g4	g2	0.042628067606380236
g2	g8	0.03982196907428934
g3	g8	0.038607906083747465
g1	g5	0.03465863655296729
g1	g4	0.03180919950378003
g5	g1	0.028770241978103482
g6	g1	0.024697307611427598
g4	g1	0.024341755966998682
g7	g1	0.02344732799092708
g5	g10	0.023119450275593548
g2	g4	0.020363639769786918
g2	g5	0.02025234155883004
g6	g9	0.020011759490055896
g7	g9	0.01959568429532441
g6	g10	0.019013196995195325
g7	g10	0.018286168895093564
g4	g10	0.016992093624482247
g3	g1	0.016860029819462687
g3	g9	0.014551089277586726
g3	g10	0.009063355623931358
