Gene1	Gene2	EdgeWeight
g6	g3	12.106683368707197
g7	g3	9.78396911201691
g7	g7	8.710595159777371
g6	g1	8.599302728207
g6	g6	8.13017421578806
g8	g3	7.931706079661031
g7	g1	7.48039162607198
g4	g6	7.07036861782488
g8	g1	6.68848001482025
g4	g3	6.667278234426839
g5	g7	6.55832133465246
g6	g8	6.43345654280521
g2	g1	5.67761907693354
g7	g4	5.65318377094203
g7	g8	5.414287234386442
g2	g3	4.95442270601864
g6	g5	4.75733760862024
g8	g4	4.65949319388736
g4	g8	4.453636379191731
g3	g1	4.10070673232666
g4	g1	3.88563145028726
g4	g2	3.60567407602084
g5	g3	3.4183380479883905
g9	g3	3.3971261648763003
g7	g2	3.28899886336767
g8	g7	3.24844781612663
g5	g2	3.2321690804106
g6	g9	3.18740712016959
g5	g8	3.1698446406389
g10	g6	3.16978051891976
g9	g1	3.09257245943389
g6	g2	3.0699436319618
g3	g6	3.04966186290644
g8	g8	2.96378305955398
g5	g5	2.82114078085168
g8	g5	2.76807982916112
g1	g6	2.73915320619396
g3	g5	2.7361429021082
g3	g2	2.5299824022593502
g8	g9	2.48531003296632
g3	g4	2.4797503097601203
g10	g7	2.46473823725389
g3	g7	2.45949397787258
g4	g4	2.32335992628414
g9	g5	2.29963392243748
g3	g3	2.22785417991316
g2	g4	2.1497933922085903
g5	g4	2.05755848936946
g4	g5	2.02068783021199
g1	g1	2.0133989160356296
g9	g4	2.00840898250296
g8	g6	1.95464328002575
g2	g5	1.9311864269040304
g7	g10	1.89603600107646
g10	g8	1.84616938887098
g3	g8	1.80942798860803
g4	g9	1.78607373558162
g1	g8	1.76411457585004
g5	g1	1.7052046973835702
g5	g10	1.63619510567977
g10	g3	1.62835158273445
g1	g7	1.61800139198906
g1	g3	1.6070144346656998
g1	g5	1.55249524457856
g1	g4	1.5102888605393
g10	g1	1.45435590774392
g10	g5	1.32196128070653
g9	g6	1.3215494489921202
g1	g2	1.2980092184773602
g10	g2	1.28580041364022
g9	g9	1.214359104892
g10	g4	1.1865137355843798
g5	g6	1.16590373465981
g10	g10	1.11715953037353
g8	g2	1.08809103613348
g3	g9	1.08177246419646
g7	g9	0.963191456166346
g2	g2	0.9334230690465708
g1	g9	0.8863539710790519
g4	g10	0.861809432853261
g9	g2	0.8263595423995441
g2	g6	0.825642739834638
g9	g10	0.8198811843569879
g1	g10	0.659353535604868
g3	g10	0.6524213438060079
g2	g8	0.63656146222309
g6	g10	0.634392529183036
g7	g6	0.628690794910956
g9	g8	0.5887603713313491
g6	g7	0.5610878848055171
g8	g10	0.547657376372377
g9	g7	0.521554330650846
g2	g9	0.483326766117025
g7	g5	0.360605886516952
g4	g7	0.2839164879035
g2	g10	0.26000233475518497
g6	g4	0.21902102018587105
g5	g9	0.208807541620788
g10	g9	0.198550698372923
g2	g7	0.182761839184228
