Gene1	Gene2	EdgeWeight
g4	g4	1.0
g7	g4	1.0
g8	g7	1.0
g6	g7	1.0
g10	g7	1.0
g5	g7	1.0
g7	g7	1.0
g8	g4	1.0
g3	g3	1.0
g10	g6	1.0
g4	g3	1.0
g8	g8	1.0
g9	g8	1.0
g2	g2	1.0
g1	g2	1.0
g8	g6	1.0
g9	g9	1.0
g10	g9	1.0
g8	g9	1.0
g7	g5	1.0
g5	g5	1.0
g6	g5	1.0
g9	g1	1.0
g1	g1	1.0
g10	g1	1.0
g2	g1	1.0
g9	g10	1.0
g10	g10	1.0
g5	g6	1.0
g1	g2	1.0
g2	g2	1.0
g9	g8	1.0
g8	g8	1.0
g6	g6	1.0
g4	g4	1.0
g3	g3	1.0
g9	g10	1.0
g9	g1	1.0
g8	g9	1.0
g10	g9	1.0
g1	g1	1.0
g10	g1	1.0
g9	g9	1.0
g2	g1	1.0
g6	g4	1.0
g5	g5	1.0
g5	g4	1.0
g2	g10	1.0
g7	g6	1.0
g4	g6	1.0
g10	g10	1.0
g4	g8	0.999999
g3	g2	0.999999
g5	g8	0.999999
g10	g2	0.9999870000000001
g9	g3	0.999967
g10	g8	0.999922
g2	g3	0.9999020000000001
g4	g5	0.9993620000000001
g5	g3	0.9976889999999999
g3	g5	0.9939399999999999
g10	g3	0.993763
g4	g7	0.9891139999999999
g1	g10	0.940183
g3	g4	0.912963
g7	g8	0.881634
g6	g8	0.872778
g7	g3	0.8155439999999999
g2	g8	0.726417
g6	g3	0.693038
g8	g5	0.650759
g1	g7	0.619376
g5	g10	0.579098
g2	g7	0.528524
g10	g5	0.505444
g1	g5	0.455491
g3	g6	0.41483400000000004
g9	g6	0.29865
g1	g3	0.297471
g2	g9	0.272827
g9	g5	0.231935
g10	g4	0.22855799999999998
g9	g7	0.21350700000000003
g2	g6	0.20554099999999997
g6	g2	0.198103
g6	g1	0.183418
g4	g10	0.16739
g1	g6	0.156576
g8	g3	0.147977
g6	g10	0.125858
g8	g1	0.12490599999999999
g7	g10	0.104603
g3	g10	0.09683
g5	g9	0.093149
g1	g9	0.090224
g3	g7	0.085658
g7	g9	0.084814
g1	g8	0.076113
g5	g2	0.075961
g9	g4	0.074964
g1	g4	0.074486
g5	g1	0.07364
g9	g2	0.072923
g4	g1	0.06375499999999999
g2	g4	0.062804
g2	g5	0.06249299999999999
g8	g10	0.062172000000000005
g3	g1	0.057857000000000006
g7	g1	0.049336
g8	g2	0.048775
g3	g9	0.047444
g7	g2	0.047168
g4	g9	0.045313
g6	g9	0.036657999999999996
g3	g8	0.033632
g4	g2	0.029587000000000002
