Gene1	Gene2	EdgeWeight
g7	g5	1.9515799155218567
g5	g7	1.9515799155218567
g4	g6	1.9420766277772543
g6	g4	1.9420766277772543
g9	g8	1.8662311498364368
g8	g9	1.8662311498364368
g1	g10	1.855350468715532
g10	g1	1.855350468715532
g4	g5	1.7934245850389512
g5	g4	1.7934245850389512
g1	g2	1.770163430290021
g2	g1	1.770163430290021
g9	g10	1.7358825247287726
g10	g9	1.7358825247287726
g10	g8	1.6825281699883816
g8	g10	1.6825281699883816
g9	g1	1.680649560825656
g1	g9	1.680649560825656
g10	g2	1.6763501177304891
g2	g10	1.6763501177304891
g1	g8	1.6158539329178818
g8	g1	1.6158539329178818
g4	g3	1.5163688215599995
g3	g4	1.5163688215599995
g5	g3	1.442823046993134
g3	g5	1.442823046993134
g7	g3	1.4202878336807503
g3	g7	1.4202878336807503
g2	g3	1.36998444662922
g3	g2	1.36998444662922
g9	g2	1.3663836330515444
g2	g9	1.3663836330515444
g6	g3	1.354218409561471
g3	g6	1.354218409561471
g4	g9	1.2587379170656496
g9	g4	1.2587379170656496
g9	g5	1.2468325332788446
g5	g9	1.2468325332788446
g7	g6	1.1989282661362572
g6	g7	1.1989282661362572
g2	g8	1.1158754148031618
g8	g2	1.1158754148031618
g4	g10	0.8612906826335829
g10	g4	0.8612906826335829
g5	g10	0.8198869399269813
g10	g5	0.8198869399269813
g4	g1	0.7661601107331111
g1	g4	0.7661601107331111
g5	g6	0.7611538112303927
g6	g5	0.7611538112303927
g5	g1	0.6697387096154026
g1	g5	0.6697387096154026
g4	g7	0.6508004881760827
g7	g4	0.6508004881760827
g1	g6	0.5193063855630897
g6	g1	0.5193063855630897
g8	g3	0.5103709052226839
g3	g8	0.5103709052226839
g6	g2	0.4912935799589369
g2	g6	0.4912935799589369
g7	g8	0.4458680162365166
g8	g7	0.4458680162365166
g7	g1	0.4179821005504404
g1	g7	0.4179821005504404
g10	g6	0.4108866028222053
g6	g10	0.4108866028222053
g7	g9	0.39452486366910144
g9	g7	0.39452486366910144
g5	g8	0.3678688211895918
g8	g5	0.3678688211895918
g7	g2	0.36094256160104604
g2	g7	0.36094256160104604
g6	g8	0.3579537062877268
g8	g6	0.3579537062877268
g7	g10	0.3465872657181318
g10	g7	0.3465872657181318
g4	g8	0.33529418077452944
g8	g4	0.33529418077452944
g9	g6	0.26975230718499976
g6	g9	0.26975230718499976
g5	g2	0.2479998864120067
g2	g5	0.2479998864120067
g4	g2	0.2423170554747655
g2	g4	0.2423170554747655
g1	g3	0.20270081918526373
g3	g1	0.20270081918526373
g10	g3	0.18601751321365034
g3	g10	0.18601751321365034
g9	g3	0.16882981729077715
g3	g9	0.16882981729077715
