Gene1	Gene2	EdgeWeight
g3	g5	0.076279612306207
g6	g8	0.0745732568179945
g8	g9	0.0710906523494494
g7	g8	0.0696864324587148
g9	g3	0.0674851158171594
g8	g3	0.0669821005296336
g9	g10	0.0669381455399343
g3	g4	0.0665861516825765
g1	g10	0.0637300052531335
g5	g7	0.0615869587057681
g1	g3	0.060157531268406
g8	g10	0.0596759617602648
g8	g7	0.0577418489495101
g6	g10	0.0565392293562447
g8	g1	0.0548803759894834
g4	g8	0.0547720565685766
g5	g6	0.0542328951093553
g3	g8	0.0540470686956049
g7	g9	0.0535257762558993
g9	g7	0.0534140345701429
g2	g3	0.0532739327628857
g3	g1	0.0525999569346649
g4	g6	0.0524843316652049
g10	g3	0.0518484464241249
g6	g4	0.0517922255050782
g8	g6	0.0510705130102098
g5	g4	0.0508553830724512
g6	g9	0.0507246877108617
g1	g9	0.0506316278529623
g3	g7	0.0497475767488886
g4	g7	0.0494628431098661
g9	g1	0.0487353095277444
g2	g1	0.0484979495425344
g2	g5	0.0478948900311029
g10	g4	0.0475949667093392
g4	g9	0.0474810330535995
g8	g4	0.04675458215829
g10	g1	0.0453602466728092
g10	g9	0.0429786427246398
g3	g6	0.0427499343790399
g9	g4	0.042741057400417004
g9	g8	0.0426597078022938
g4	g5	0.0419526155692374
g5	g8	0.0418111008282821
g5	g9	0.0413485194169239
g9	g6	0.0410037585955172
g7	g4	0.0409912165108293
g5	g3	0.0403928941729549
g4	g2	0.0393775230665167
g3	g2	0.0392750949584713
g5	g2	0.0392614674899976
g2	g4	0.0390414806230229
g2	g10	0.0389599094904536
g10	g2	0.0384670515459788
g2	g9	0.0383603999723074
g7	g1	0.0379409595196933
g7	g5	0.0373988082103278
g6	g5	0.0373517598535902
g8	g5	0.0364282321205671
g6	g2	0.0356255297569569
g7	g3	0.0353324574953495
g6	g1	0.0348400543503096
g2	g8	0.0343949726160764
g1	g5	0.0341358117930318
g4	g3	0.0340300154445741
g1	g7	0.0332500064832788
g1	g2	0.0325934424141326
g10	g5	0.0325828906319484
g7	g6	0.0324630451940924
g3	g10	0.0320544120500636
g1	g6	0.0313761224838658
g10	g7	0.0308287663430993
g2	g7	0.0304918060819775
g9	g2	0.0302052937284512
g3	g9	0.0298017891943865
g7	g10	0.0297902261002055
g8	g2	0.0289524749836403
g9	g5	0.0289058861078943
g4	g10	0.0284237392640288
g1	g4	0.0276611823552192
g2	g6	0.0255476530346178
g5	g10	0.0234721137252827
g6	g7	0.0234075378891362
g6	g3	0.0233448096041759
g4	g1	0.0231375464131498
g1	g8	0.0226608583604864
g10	g8	0.0222505447032984
g10	g6	0.0221471113993254
g5	g1	0.0177549334562836
g7	g2	0.0144058021652521
