Gene1	Gene2	EdgeWeight
g2	g3	99
g6	g7	99
g1	g1	98
g1	g3	98
g5	g1	97
g9	g10	96
g9	g7	95
g4	g3	95
g2	g5	94
g4	g6	94
g5	g7	93
g3	g4	93
g3	g8	92
g2	g10	92
g7	g5	91
g10	g4	91
g6	g8	90
g8	g5	89
g2	g6	89
g10	g5	88
g9	g8	88
g9	g6	87
g1	g7	87
g5	g3	86
g10	g9	85
g7	g8	85
g8	g6	84
g9	g1	83
g7	g6	83
g5	g4	82
g10	g10	82
g6	g4	81
g1	g2	80
g4	g1	80
g4	g7	79
g6	g5	79
g6	g1	78
g8	g4	78
g8	g7	77
g10	g2	77
g3	g2	76
g5	g6	76
g4	g2	74
g2	g1	74
g7	g10	73
g5	g8	72
g4	g8	71
g3	g1	70
g10	g8	70
g4	g5	69
g3	g5	68
g8	g2	67
g6	g10	66
g7	g7	66
g1	g9	64
g2	g8	63
g3	g3	63
g2	g7	62
g7	g2	62
g8	g10	61
g6	g3	61
g10	g3	60
g1	g10	59
g3	g9	58
g9	g2	58
g5	g2	57
g8	g9	56
g7	g3	55
g1	g8	55
g9	g3	53
g4	g10	53
g7	g1	52
g8	g1	51
g8	g3	46
g3	g7	46
g6	g9	45
g7	g9	44
g9	g9	44
g7	g4	43
g8	g8	43
g10	g1	42
g9	g4	42
g2	g9	41
g4	g9	39
g3	g10	37
g1	g6	36
g5	g5	35
g2	g2	35
g6	g2	34
g10	g6	33
g6	g6	32
g9	g5	29
g3	g6	28
g5	g9	26
g4	g4	23
g2	g4	22
g1	g4	22
g5	g10	18
g10	g7	17
g1	g5	13
