,dyn-CY_500_0,dyn-CY_500_1,dyn-CY_500_2,dyn-CY_500_3,dyn-CY_500_4,dyn-CY_500_5,dyn-CY_500_6,dyn-CY_500_7,dyn-CY_500_8,dyn-CY_500_9,dyn-CY_2000_0,dyn-CY_2000_1,dyn-CY_2000_2,dyn-CY_2000_3,dyn-CY_2000_4,dyn-CY_2000_5,dyn-CY_2000_6,dyn-CY_2000_7,dyn-CY_2000_8,dyn-CY_2000_9,dyn-CY_5000_0,dyn-CY_5000_1,dyn-CY_5000_2,dyn-CY_5000_3,dyn-CY_5000_4,dyn-CY_5000_5,dyn-CY_5000_6,dyn-CY_5000_7,dyn-CY_5000_8,dyn-CY_5000_9
GENIE3,25.18,24.92,24.93,27.23,25.93,29.9,22.2,18.42,22.31,20.4,52.68,61.08,52.99,50.64,50.99,58.19,61.74,66.0,50.85,51.34,124.04,126.16,122.26,120.88,122.39,122.16,121.96,124.0,125.0,127.16
GRISLI,48.62,49.3,49.12,49.87,46.51,44.35,50.39,38.88,43.56,44.96,73.45,73.99,62.16,67.85,66.9,65.79,73.81,62.23,61.77,63.33,112.25,107.75,107.08,100.64,131.05,155.58,146.89,100.89,101.78,98.58
GRNBOOST2,6.16,6.89,5.88,7.19,6.74,7.23,5.57,6.09,5.46,5.75,10.83,13.95,10.96,10.73,10.41,12.39,12.86,12.67,10.36,11.03,17.88,18.59,17.04,17.54,17.15,17.4,16.96,16.94,18.6,16.95
GRNVBEM,16.73,15.25,16.65,17.13,16.04,18.58,15.51,15.04,15.81,15.29,18.12,22.76,19.49,18.48,18.49,20.8,20.9,23.92,21.8,18.64,44.66,45.15,47.8,43.88,44.02,47.79,43.73,45.7,48.14,44.23
LEAP,9.53,8.51,9.61,9.77,7.8,8.1,8.22,8.27,8.27,8.79,91.19,84.25,84.61,83.14,94.36,94.65,103.03,82.85,92.07,83.32,804.88,987.14,777.05,885.43,782.91,910.91,817.7,801.4,778.11,781.82
PIDC,26.19,25.49,24.62,27.82,27.37,29.37,24.83,23.88,23.58,24.95,26.11,28.9,27.71,25.63,25.54,29.05,30.25,31.23,34.08,25.35,31.7,32.6,31.84,32.06,32.07,33.53,32.4,32.65,32.82,32.93
PPCOR,0.3,0.33,0.49,0.36,0.35,0.35,0.36,0.33,0.37,0.36,1.21,0.93,0.91,0.89,0.88,0.95,1.14,0.89,0.98,0.93,4.05,4.25,3.49,4.95,3.62,4.24,3.56,3.5,3.61,3.58
SCINGE,62.67,47.99,49.22,60.1,60.07,63.48,61.65,57.49,63.15,62.92,141.67,318.92,237.66,231.11,273.47,226.04,230.04,189.16,235.74,184.93,976.19,689.03,656.63,703.9,697.86,458.92,1646.76,879.08,1615.06,676.02
SCNS,3.4,3.76,3.72,2.95,3.98,3.58,3.54,3.14,3.26,3.85,3.89,4.57,4.03,4.0,4.42,4.05,4.27,3.72,3.91,3.9,5.37,4.91,4.7,4.18,4.77,5.58,5.05,4.51,5.28,3.82
SCODE,223.14,224.71,271.94,276.82,219.66,223.1,220.87,222.04,222.72,222.08,629.96,716.7,635.12,724.65,624.7,629.66,644.3,700.96,624.35,696.86,1461.28,1544.97,1512.29,1604.12,1502.9,1674.44,1693.36,1676.86,1629.45,1518.13
SCRIBE,6.38,6.99,9.2,6.33,6.45,6.33,6.34,6.2,6.33,6.56,22.18,17.2,21.55,17.17,16.91,16.85,19.2,16.95,21.58,16.65,58.05,47.9,49.32,51.8,49.98,68.37,50.56,50.3,49.69,49.13
SINCERITIES,2.53,2.49,3.45,3.22,2.47,2.53,2.47,2.54,2.46,2.45,2.59,2.67,2.74,2.75,2.6,2.57,3.19,2.66,2.59,2.64,2.72,3.25,2.66,2.82,2.6,2.81,2.83,3.35,2.59,2.83
