Gene1	Gene2	EdgeWeight
g6	g2	1.846223421427508
g2	g6	1.846223421427508
g4	g3	1.761615429946508
g3	g4	1.761615429946508
g4	g5	1.7603834057846492
g5	g4	1.7603834057846492
g1	g5	1.6824669366765344
g5	g1	1.6824669366765344
g1	g2	1.4671590713458451
g2	g1	1.4671590713458451
g1	g6	1.4560139936154315
g6	g1	1.4560139936154315
g6	g3	1.4169954050339737
g3	g6	1.4169954050339737
g3	g2	1.3489249340928708
g2	g3	1.3489249340928708
g6	g4	0.4467735420753763
g4	g6	0.4467735420753763
g5	g2	0.4139536492948501
g2	g5	0.4139536492948501
g1	g3	0.35547350252306603
g3	g1	0.35547350252306603
g4	g2	0.3395927213825183
g2	g4	0.3395927213825183
g6	g5	0.3124759800782708
g5	g6	0.3124759800782708
g3	g5	0.223206922267472
g5	g3	0.223206922267472
g1	g4	0.20447030062132693
g4	g1	0.20447030062132693
