Gene1	Gene2	EdgeWeight
g6	g6	23.7966210343836
g6	g5	22.877728956995
g2	g6	19.6583206565091
g2	g5	19.277629521344107
g6	g3	18.2337297114913
g3	g5	15.936752067683699
g2	g3	15.2320197635413
g3	g6	14.8283374582865
g1	g6	14.4853675927229
g4	g5	12.6386110194314
g6	g4	12.1951553013357
g1	g5	11.7588609194027
g3	g3	11.2630851247855
g1	g3	10.5829433134709
g4	g6	10.1960869300397
g2	g4	9.47815693818145
g3	g4	9.31331594087637
g6	g2	8.64071938649305
g4	g3	8.461396694782849
g4	g4	8.06895063531494
g2	g2	7.74147104148512
g1	g2	6.88635783304412
g6	g1	5.52478341735792
g1	g4	4.7945294859002106
g2	g1	4.6925938464524695
g5	g4	4.54001727964666
g3	g2	4.11231320516865
g5	g5	4.03744616943725
g3	g1	4.00563331322372
g4	g1	3.10357937791042
g1	g1	2.58394456572186
g5	g2	2.49821085781463
g4	g2	1.60201564050389
g5	g3	1.40511341505627
g5	g1	1.20670964755847
g5	g6	0.659597883972167
