Gene1	Gene2	EdgeWeight
g4	g5	0.0778632078166394
g5	g1	0.0746235770858173
g3	g4	0.0719238964951124
g4	g6	0.0661929822984037
g4	g3	0.0610434406850868
g5	g4	0.0592522466682216
g6	g1	0.0575331592489697
g1	g6	0.0555199508110544
g6	g2	0.0549320155045497
g1	g2	0.0529701371727304
g2	g1	0.0528066857468782
g1	g5	0.0499975164456405
g5	g6	0.0493303015018389
g2	g6	0.0492505969629445
g3	g2	0.0491159399822393
g4	g2	0.0468817416277555
g6	g5	0.0422837365801096
g3	g6	0.0402306103234046
g2	g5	0.0388849706985726
g3	g1	0.0387870852541448
g2	g4	0.0380708722579692
g6	g4	0.037898101801179
g1	g3	0.0365301570384303
g4	g1	0.0358350968122802
g5	g3	0.0351338773854061
g3	g5	0.0334897795673538
g1	g4	0.0307062207174259
g5	g2	0.030590345763877
g2	g3	0.02862778170059
g6	g3	0.00660630104764987
