Gene1	Gene2	EdgeWeight
g2	g6	0.6150180276522528
g6	g2	0.5850141637352739
g3	g4	0.4092780831441392
g1	g5	0.4077844852185589
g4	g3	0.3701000534349673
g5	g1	0.3235295250412964
g4	g5	0.3223212182481667
g5	g4	0.32186452268671073
g6	g1	0.27595757834380896
g6	g3	0.2527410223500447
g2	g1	0.24493950061235964
g2	g3	0.2054471758244019
g1	g2	0.1729375120022291
g3	g2	0.16920524268963125
g3	g6	0.16739275636436107
g1	g6	0.15624354354421952
g3	g5	0.10294576190057343
g5	g3	0.09791587805406554
g6	g4	0.09405397569176224
g2	g5	0.09165028927066857
g1	g4	0.09109205065380316
g2	g4	0.0837113678235852
g4	g1	0.08370639602166753
g6	g5	0.07529824536203264
g1	g3	0.07379587033652116
g3	g1	0.07186699998086743
g4	g2	0.0394987436196019
g4	g6	0.03382990937720142
g5	g2	0.033344337953264275
g5	g6	0.02751576306196656
