Gene1	Gene2	EdgeWeight
g6	g2	509.90285336841384
g2	g6	501.4009565835818
g3	g4	253.32098340388146
g1	g5	235.9962954805034
g5	g4	211.84982132042893
g1	g2	209.23025644923104
g4	g5	197.60296692408818
g4	g3	193.81337610825176
g5	g1	191.83586005685157
g3	g6	179.28756615489135
g1	g6	172.33815802334863
g3	g2	168.53592069828008
g2	g1	146.48952639101176
g6	g3	142.9097419569587
g6	g1	123.86763355236343
g2	g3	115.27413754040501
g3	g5	59.83517860566844
g2	g4	50.092442556215566
g4	g6	49.622579762304525
g6	g4	47.1988719686107
g4	g2	46.569440664823865
g1	g4	40.5378807508634
g2	g5	36.87213049001768
g3	g1	35.693459854304784
g5	g3	35.683680744678945
g4	g1	35.11352014546852
g5	g2	32.76152881925124
g6	g5	32.69342849972227
g1	g3	30.319063649705587
g5	g6	25.350739475873603
