Gene1	Gene2	EdgeWeight
g1	g1	1.0
g3	g3	1.0
g6	g3	1.0
g1	g5	1.0
g6	g1	1.0
g5	g4	1.0
g3	g4	1.0
g4	g4	1.0
g6	g4	1.0
g6	g5	1.0
g5	g5	1.0
g3	g6	1.0
g2	g5	1.0
g6	g6	1.0
g1	g6	1.0
g2	g1	1.0
g5	g1	1.0
g4	g2	1.0
g3	g2	1.0
g4	g3	1.0
g4	g5	0.9993059999999999
g2	g4	0.9991559999999999
g4	g6	0.975482
g3	g5	0.9439120000000001
g1	g3	0.9438489999999999
g5	g3	0.875059
g3	g1	0.42361400000000005
g2	g6	0.150565
g2	g3	0.087238
g4	g1	0.08379199999999999
g5	g6	0.08215399999999999
g1	g4	0.07488
g1	g2	0.0
g6	g2	0.0
g5	g2	0.0
