Gene1	Gene2	EdgeWeight
g1	g2	1.02922274805693
g1	g6	1.0
g4	g5	0.8595929272903
g5	g1	0.462655874160679
g4	g1	0.27971561671824396
g1	g1	0.238001537859415
g3	g5	0.166384283383776
g6	g5	0.154418677164983
g3	g4	0.12204621065433802
g5	g2	0.0831771017118834
g6	g4	0.0610770486606805
g5	g5	0.0546941294365189
g4	g4	0.0405532172105214
g2	g4	0.0244328167256872
g6	g3	0.000765036506169971
g1	g3	0.000363192567366508
g2	g3	0.000360960073751264
g3	g2	0.0
g5	g4	0.0
g4	g2	0.0
g6	g2	0.0
g2	g5	0.0
g1	g5	0.0
g5	g3	0.0
g3	g3	0.0
g4	g3	0.0
g3	g1	0.0
g1	g4	0.0
g2	g6	0.0
g5	g6	0.0
g3	g6	0.0
g4	g6	0.0
g6	g6	0.0
g2	g1	0.0
g6	g1	0.0
g2	g2	0.0
