Gene1	Gene2	EdgeWeight
g2	g3	2.0
g5	g1	0.5
g3	g4	0.22221999999999997
g1	g2	0.125
g1	g6	0.08
g3	g5	0.05555
g2	g5	0.03125
g5	g4	0.01652
g6	g2	0.013880000000000002
g6	g3	0.01183
g6	g5	0.0102
g2	g6	0.008879999999999999
g4	g5	0.007809999999999999
g5	g6	0.00692
g4	g3	0.00617
g1	g3	0.00554
g1	g4	0.004529999999999999
g5	g2	0.00413
g3	g1	0.0037799999999999995
g1	g5	0.0034700000000000004
g2	g4	0.0032
g5	g3	0.00295
g2	g1	0.00274
g6	g1	0.00255
g4	g6	0.00237
g3	g6	0.0022199999999999998
g6	g4	0.0020800000000000003
g3	g2	0.00183
g4	g1	0.0016300000000000002
g4	g2	0.0015400000000000001
