Gene1	Gene2	EdgeWeight
g2	g6	0.9240371399569741
g6	g2	0.9240371399569741
g1	g6	0.781715549093493
g1	g2	0.7733396486929169
g1	g4	0.761719938629394
g5	g6	0.734876701602761
g5	g1	0.726681555957417
g1	g3	0.722302541703047
g2	g4	0.711026017659903
g2	g1	0.696246387877294
g2	g5	0.695567065441626
g5	g2	0.694911739163799
g6	g4	0.6869067249947719
g6	g3	0.6806755935512769
g2	g3	0.6765960227491801
g6	g1	0.6737963162800561
g6	g5	0.670588554178481
g5	g3	0.668714219117499
g3	g2	0.6472458463706999
g1	g5	0.643856480570807
g3	g6	0.63253908407037
g5	g4	0.5710170051093411
g3	g4	0.570105421838036
g3	g5	0.535675242489675
g4	g5	0.509689726808176
g4	g1	0.499651730684141
g4	g3	0.49095877985437
g3	g1	0.47587275583509003
g4	g6	0.46163960273999
g4	g2	0.446331399463147
