Gene1	Gene2	EdgeWeight
g1	g1	1.0
g6	g6	1.0
g4	g4	1.0
g3	g3	1.0
g5	g5	1.0
g2	g2	1.0
g2	g6	-0.6191753928265029
g6	g2	-0.6191753928265029
g4	g3	0.501423174262562
g3	g4	0.501423174262562
g5	g1	-0.48322446898866206
g1	g5	-0.48322446898866206
g5	g4	0.439273905923123
g4	g5	0.439273905923123
g6	g1	0.282237553996299
g1	g6	0.282237553996299
g1	g2	-0.23199407823326001
g2	g1	-0.23199407823326001
g3	g2	-0.230796068665943
g2	g3	-0.230796068665943
g3	g6	0.187927527204221
g6	g3	0.187927527204221
g5	g6	0
g6	g5	0
g6	g4	0
g4	g6	0
g5	g3	0
g3	g5	0
g5	g2	0
g2	g5	0
g2	g4	0
g4	g2	0
g4	g1	0
g1	g4	0
g1	g3	0
g3	g1	0
