,dyn-LI_500_0,dyn-LI_500_1,dyn-LI_500_2,dyn-LI_500_3,dyn-LI_500_4,dyn-LI_500_5,dyn-LI_500_6,dyn-LI_500_7,dyn-LI_500_8,dyn-LI_500_9,dyn-LI_2000_0,dyn-LI_2000_1,dyn-LI_2000_2,dyn-LI_2000_3,dyn-LI_2000_4,dyn-LI_2000_5,dyn-LI_2000_6,dyn-LI_2000_7,dyn-LI_2000_8,dyn-LI_2000_9,dyn-LI_5000_0,dyn-LI_5000_1,dyn-LI_5000_2,dyn-LI_5000_3,dyn-LI_5000_4,dyn-LI_5000_5,dyn-LI_5000_6,dyn-LI_5000_7,dyn-LI_5000_8,dyn-LI_5000_9
GENIE3,0.8612244897959184,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8693877551020408,0.8612244897959185,0.8653061224489796,0.8653061224489796,0.8775510204081632,0.8489795918367347,0.8653061224489796,0.8653061224489796,0.8612244897959184,0.8693877551020408,0.8693877551020408,0.8612244897959185,0.8571428571428572,0.8489795918367347,0.8408163265306122,0.8530612244897959,0.8571428571428572,0.8653061224489796,0.8612244897959184,0.8653061224489796,0.8571428571428572,0.8693877551020409,0.8612244897959184,0.8571428571428572,0.8653061224489795,0.8571428571428571
GRISLI,0.7836734693877551,0.9020408163265307,0.9020408163265305,0.8571428571428571,0.9510204081632653,0.9061224489795918,0.8244897959183674,0.8244897959183674,0.8979591836734693,0.9469387755102041,0.9428571428571428,0.8979591836734694,0.9142857142857143,0.9020408163265305,0.926530612244898,0.930612244897959,0.9061224489795918,0.8857142857142857,0.8857142857142857,0.8979591836734694,0.910204081632653,0.9346938775510205,0.8775510204081632,0.8979591836734693,0.9224489795918367,0.9387755102040816,0.8979591836734694,0.9142857142857143,0.926530612244898,0.8979591836734694
GRNBOOST2,0.8163265306122449,0.8448979591836734,0.7877551020408162,0.7795918367346938,0.8408163265306121,0.8326530612244898,0.8244897959183672,0.8122448979591836,0.7795918367346939,0.7673469387755102,0.8326530612244898,0.8408163265306122,0.8244897959183674,0.8204081632653061,0.8448979591836734,0.8081632653061225,0.8204081632653061,0.8122448979591836,0.7918367346938775,0.7959183673469388,0.8204081632653061,0.8122448979591836,0.7918367346938775,0.8163265306122448,0.8122448979591836,0.8122448979591836,0.820408163265306,0.8,0.8122448979591836,0.7959183673469388
GRNVBEM,0.9408163265306123,0.8244897959183674,0.9428571428571428,0.8306122448979592,0.9183673469387754,0.9326530612244898,0.8224489795918367,0.8551020408163265,0.8387755102040815,0.9551020408163265,0.8530612244897959,0.889795918367347,0.9020408163265305,0.8795918367346939,0.9102040816326531,0.8122448979591836,0.7755102040816326,0.8673469387755102,0.8040816326530612,0.8918367346938776,0.820408163265306,0.9020408163265305,0.8857142857142858,0.820408163265306,0.8040816326530612,0.7836734693877551,0.7755102040816326,0.7795918367346938,0.8979591836734694,0.8897959183673468
LEAP,0.8,0.789795918367347,0.8306122448979592,0.8448979591836734,0.8,0.8040816326530612,0.7591836734693878,0.7755102040816327,0.7979591836734694,0.7959183673469388,0.7551020408163265,0.7612244897959183,0.7612244897959183,0.7632653061224489,0.7632653061224489,0.7795918367346938,0.7755102040816326,0.7489795918367347,0.7693877551020408,0.7714285714285714,0.7387755102040816,0.7428571428571428,0.736734693877551,0.7510204081632653,0.7448979591836734,0.7653061224489796,0.746938775510204,0.746938775510204,0.7693877551020408,0.7673469387755102
PIDC,0.7612244897959183,0.7938775510204081,0.8102040816326529,0.7612244897959183,0.8755102040816327,0.8755102040816326,0.883673469387755,0.8346938775510204,0.7612244897959183,0.8020408163265306,0.7612244897959183,0.7448979591836734,0.7122448979591836,0.8346938775510204,0.8020408163265306,0.810204081632653,0.8183673469387756,0.720408163265306,0.8265306122448979,0.826530612244898,0.8428571428571427,0.8346938775510204,0.810204081632653,0.8346938775510203,0.826530612244898,0.8346938775510204,0.810204081632653,0.8020408163265306,0.8346938775510204,0.810204081632653
PPCOR,0.7693877551020409,0.7693877551020409,0.7693877551020409,0.7877551020408164,0.7836734693877553,0.7857142857142858,0.7693877551020409,0.7755102040816328,0.7836734693877553,0.7857142857142858,0.8265306122448981,0.8673469387755102,0.8285714285714286,0.8387755102040817,0.8775510204081632,0.8428571428571429,0.8367346938775511,0.8142857142857143,0.826530612244898,0.8326530612244898,0.8326530612244898,0.8591836734693876,0.8204081632653062,0.8224489795918367,0.8673469387755102,0.826530612244898,0.8571428571428571,0.8428571428571427,0.8224489795918368,0.826530612244898
SCINGE,0.9020408163265308,1.0,0.8857142857142858,0.7857142857142857,0.5,0.9142857142857144,0.8244897959183674,0.5,0.963265306122449,0.7755102040816327,0.8877551020408163,0.8489795918367348,0.753061224489796,1.0,0.8326530612244898,0.9102040816326531,0.9142857142857143,0.8959183673469389,0.8448979591836735,0.9142857142857144,0.8326530612244898,0.9183673469387756,0.942857142857143,0.8408163265306122,0.873469387755102,0.9714285714285714,0.9183673469387755,0.8530612244897959,0.8938775510204082,0.5
SCNS,0.6693877551020408,0.5326530612244897,0.49387755102040815,0.4653061224489796,0.516326530612245,0.5244897959183673,0.5081632653061224,0.5122448979591836,0.7020408163265307,0.5897959183673469,0.48367346938775513,0.5714285714285714,0.5,0.536734693877551,0.4877551020408164,0.4877551020408163,0.5061224489795918,0.5795918367346939,0.5163265306122449,0.546938775510204,0.4408163265306122,0.4877551020408163,0.5224489795918367,0.48571428571428565,0.4857142857142857,0.5693877551020408,0.4448979591836735,0.5571428571428572,0.5122448979591837,0.4408163265306122
SCODE,0.6775510204081632,0.4693877551020408,0.6244897959183674,0.6530612244897959,0.5306122448979592,0.5551020408163265,0.6285714285714286,0.673469387755102,0.5306122448979592,0.6,0.6612244897959183,0.636734693877551,0.5387755102040815,0.6408163265306123,0.5183673469387755,0.5510204081632653,0.46122448979591835,0.5183673469387755,0.6448979591836734,0.6040816326530613,0.563265306122449,0.5387755102040817,0.6122448979591837,0.46938775510204084,0.48571428571428577,0.546938775510204,0.6571428571428571,0.5877551020408163,0.6612244897959184,0.6285714285714286
SCRIBE,0.7306122448979591,0.6408163265306122,0.7795918367346938,0.836734693877551,0.7918367346938776,0.7591836734693878,0.7346938775510204,0.7061224489795918,0.8326530612244898,0.7755102040816326,0.726530612244898,0.8285714285714285,0.7142857142857143,0.8204081632653062,0.6857142857142857,0.7836734693877551,0.7551020408163265,0.7959183673469388,0.8122448979591836,0.7999999999999999,0.7714285714285715,0.8326530612244897,0.8408163265306122,0.8122448979591836,0.7959183673469388,0.8367346938775511,0.7755102040816326,0.8244897959183672,0.8040816326530612,0.836734693877551
