,dyn-LI_500_0,dyn-LI_500_1,dyn-LI_500_2,dyn-LI_500_3,dyn-LI_500_4,dyn-LI_500_5,dyn-LI_500_6,dyn-LI_500_7,dyn-LI_500_8,dyn-LI_500_9,dyn-LI_2000_0,dyn-LI_2000_1,dyn-LI_2000_2,dyn-LI_2000_3,dyn-LI_2000_4,dyn-LI_2000_5,dyn-LI_2000_6,dyn-LI_2000_7,dyn-LI_2000_8,dyn-LI_2000_9,dyn-LI_5000_0,dyn-LI_5000_1,dyn-LI_5000_2,dyn-LI_5000_3,dyn-LI_5000_4,dyn-LI_5000_5,dyn-LI_5000_6,dyn-LI_5000_7,dyn-LI_5000_8,dyn-LI_5000_9
GENIE3,28.5,26.48,26.83,27.16,26.01,27.04,27.16,27.31,28.24,27.27,63.21,63.73,63.21,64.92,64.24,65.1,64.82,62.91,63.73,63.6,159.56,161.36,160.26,157.76,157.87,161.7,161.52,155.24,158.08,159.04
GRISLI,94.48,112.51,103.88,101.31,103.09,115.35,81.54,93.47,79.1,88.62,86.19,79.95,70.59,75.61,70.17,69.3,72.33,68.43,65.97,75.57,100.58,100.37,100.49,114.38,110.92,119.04,107.72,118.3,110.25,109.38
GRNBOOST2,5.03,5.07,4.8,5.16,5.06,5.03,5.03,5.01,5.25,5.22,9.7,9.51,8.72,9.94,9.48,9.17,9.47,9.11,9.08,9.45,16.0,15.99,14.35,15.65,15.1,15.71,15.6,14.87,14.93,15.24
GRNVBEM,17.79,16.2,20.9,15.55,18.15,17.54,21.17,18.44,18.89,16.59,24.82,24.53,25.19,24.55,25.3,25.57,25.23,25.28,25.2,24.45,98.36,99.45,100.58,96.88,99.83,98.97,100.1,98.99,97.23,97.73
LEAP,11.35,8.38,8.45,8.62,8.38,9.76,8.32,10.55,8.39,8.21,83.65,82.37,82.09,82.3,82.25,82.66,85.67,80.39,83.68,83.14,777.66,795.02,802.83,877.09,967.54,822.84,820.65,883.9,772.57,871.24
PIDC,23.94,22.85,23.71,23.21,23.42,23.36,23.53,23.73,23.52,23.48,25.0,24.71,24.36,25.12,25.08,24.96,25.24,25.31,24.86,24.23,31.93,31.81,32.68,31.75,31.73,33.34,32.65,31.39,31.77,31.36
PPCOR,0.43,0.37,0.34,0.38,0.34,0.36,0.34,0.41,0.37,0.36,0.9,0.93,0.86,0.92,0.92,0.89,1.25,0.88,0.93,0.88,3.43,3.42,3.45,3.78,3.47,4.09,3.38,3.71,3.44,3.48
SCINGE,62.69,86.88,85.75,89.48,80.88,77.66,87.4,80.05,82.32,88.65,244.06,468.72,484.96,299.88,365.86,295.03,298.95,242.83,478.41,248.8,1734.77,1042.48,861.84,882.27,877.69,571.44,2061.12,938.92,2132.36,894.85
SCNS,6.12,7.61,7.77,7.4,7.51,9.17,7.55,8.67,8.7,8.47,10.63,9.87,9.36,10.29,11.13,12.59,8.79,10.09,10.64,9.53,12.08,10.2,10.47,12.12,11.3,12.67,12.08,10.17,12.69,10.66
SCODE,260.61,251.63,270.65,254.34,266.92,256.27,253.36,253.66,246.37,258.68,677.3,680.9,665.21,668.97,642.96,693.98,652.41,667.76,677.86,644.84,1530.91,1554.2,1574.13,1529.48,1595.92,1504.89,1643.23,1505.38,1641.76,1535.93
SCRIBE,9.23,7.7,7.44,7.62,8.2,8.42,7.3,7.43,7.33,7.97,26.94,24.32,24.46,24.19,24.21,24.4,29.57,24.0,24.03,24.34,74.77,74.9,75.12,79.82,74.07,91.49,73.93,75.16,73.68,73.9
SINCERITIES,3.42,2.84,2.74,2.73,2.74,3.05,2.7,2.77,2.63,2.52,2.96,2.63,2.7,3.6,2.72,2.7,2.67,2.69,2.56,2.68,3.6,2.76,3.0,2.73,3.98,2.83,4.01,2.63,2.77,3.03
