Gene1	Gene2	EdgeWeight
g5	g4	211.1147455699324
g4	g3	207.78827916832162
g6	g7	204.43650010096314
g6	g5	201.91456957025073
g5	g6	197.623270535748
g7	g6	195.0412361857855
g3	g4	173.65654048707387
g4	g5	153.1461163417101
g3	g2	147.4822251680807
g1	g2	103.52583818228636
g2	g1	86.58780184784754
g2	g3	74.66357891702715
g5	g3	69.37165323814024
g6	g4	59.76851651079529
g4	g6	57.353979032236396
g4	g2	56.62742076436392
g3	g5	49.4189846733866
g5	g7	44.9668172669976
g7	g5	39.344918988759844
g3	g6	37.753846231530964
g1	g7	37.45570167016969
g2	g4	32.69005098049506
g3	g1	32.63499543450716
g5	g2	31.43953178363422
g6	g3	31.369361824567854
g4	g1	24.97230890818472
g7	g1	24.719559655958587
g6	g2	23.15194164572361
g4	g7	22.256453834249843
g7	g4	21.283252442116932
g6	g1	19.9167426656539
g7	g2	17.773042455911234
g5	g1	17.168591487848133
g3	g7	15.814211270591244
g2	g5	13.522344894318922
g2	g7	12.070315857028485
g7	g3	10.29183112080225
g1	g6	10.104981241648352
g1	g3	9.515295731140883
g2	g6	9.122686773050887
g1	g4	7.486894009586401
g1	g5	4.6530655315738425
