Gene1	Gene2	EdgeWeight
g4	g5	0.8168819259591179
g3	g4	0.8038333789820149
g5	g6	0.774502983223811
g5	g4	0.697682152642107
g4	g3	0.673900238411732
g4	g6	0.6303380890773
g3	g5	0.625805668543023
g6	g5	0.621618184916675
g2	g3	0.549430653510959
g6	g7	0.51295606101358
g5	g7	0.488771523784487
g5	g3	0.45130290872612894
g3	g2	0.44005834663919396
g7	g6	0.427962832842827
g3	g6	0.41847787978062195
g2	g4	0.412465027405379
g6	g4	0.395153167858591
g4	g7	0.33346117785155294
g4	g2	0.31141846374732896
g2	g5	0.29592689396669203
g6	g3	0.264215465623443
g1	g2	0.223783157637418
g2	g1	0.22199511685623602
g5	g2	0.22193929387427497
g3	g7	0.219604047960045
g7	g5	0.206231940612558
g2	g6	0.203740250411445
g1	g3	0.20216578838262197
g1	g4	0.155768414428816
g7	g4	0.149738419798867
g6	g2	0.13447709536225802
g2	g7	0.12041101063792697
g3	g1	0.11855356694498699
g6	g1	0.11617121749490801
g7	g1	0.0967520743375633
g4	g1	0.0959190873313755
g7	g3	0.0941200537496737
g1	g5	0.087679527429554
g1	g6	0.0872990784060334
g7	g2	0.0846458041057414
g5	g1	0.0654105838264658
g1	g7	0.0548951880104352
