Gene1	Gene2	EdgeWeight
g1	g3	1.0
g7	g7	0.381042137354057
g2	g3	0.36206526295399605
g5	g6	0.30014800679316805
g6	g6	0.278819267940613
g3	g3	0.25417109850677805
g6	g7	0.223208378964
g7	g6	0.15326747309835
g1	g2	0.0843804973581117
g7	g1	0.06977805492619901
g4	g5	0.0568301733751641
g6	g1	0.0550890944573416
g5	g5	0.0484896103610647
g5	g1	0.0459335712317555
g1	g7	0.0451914719946545
g1	g1	0.0351161694128091
g2	g2	0.0235647622814422
g3	g2	0.00761843903761037
g3	g4	0.00492523850184655
g4	g4	0.0032476149228073603
g4	g7	0.0
g2	g7	0.0
g5	g7	0.0
g7	g3	0.0
g2	g4	0.0
g6	g3	0.0
g4	g3	0.0
g5	g3	0.0
g3	g6	0.0
g4	g6	0.0
g2	g6	0.0
g1	g6	0.0
g7	g4	0.0
g6	g4	0.0
g2	g5	0.0
g5	g4	0.0
g1	g4	0.0
g7	g2	0.0
g6	g2	0.0
g4	g2	0.0
g5	g2	0.0
g7	g5	0.0
g3	g5	0.0
g6	g5	0.0
g1	g5	0.0
g3	g1	0.0
g4	g1	0.0
g2	g1	0.0
g3	g7	0.0
