Gene1	Gene2	EdgeWeight
g4	g5	0.0935270617506412
g6	g5	0.0585702015578903
g3	g4	0.0564569463463553
g5	g4	0.0522456326525906
g5	g6	0.0503964938408617
g3	g2	0.0500946937284203
g2	g1	0.0414421992057152
g2	g3	0.038501422216111
g7	g6	0.0353422148199837
g6	g7	0.0331709107237312
g4	g3	0.0310833207555813
g2	g7	0.0293342343131262
g1	g3	0.029142168718091
g3	g7	0.0271833406892354
g1	g4	0.0261333514952097
g4	g2	0.02554052650378
g4	g1	0.0248852858641092
g2	g6	0.0233501698937435
g7	g5	0.0232278484449982
g1	g5	0.02320930991948
g2	g5	0.0229903266906461
g3	g1	0.0229416669885752
g1	g2	0.0227504811900985
g4	g6	0.0221205251494858
g3	g5	0.0220727785746901
g4	g7	0.0208232555390634
g5	g2	0.0191775586017374
g5	g7	0.0188674567765916
g7	g4	0.0187229897321203
g2	g4	0.0171273377939762
g6	g3	0.0160414562715678
g1	g6	0.015916621078746997
g6	g4	0.0158876432402946
g7	g1	0.0137170895596256
g3	g6	0.0129618351571305
g7	g3	0.0126400717320381
g6	g1	0.0116119481892072
g6	g2	0.00989352615910516
g7	g2	0.00945850352928661
g5	g1	0.008959906313577971
g1	g7	0.00788527789526515
g5	g3	-0.00040254257179105497
