Gene1	Gene2	EdgeWeight
g1	g1	1.0
g1	g2	1.0
g6	g7	1.0
g3	g3	1.0
g4	g3	1.0
g2	g3	1.0
g7	g6	1.0
g6	g6	1.0
g5	g6	1.0
g3	g4	1.0
g5	g4	1.0
g3	g2	1.0
g2	g2	1.0
g4	g4	1.0
g7	g7	1.0
g5	g5	1.0
g2	g1	1.0
g6	g5	1.0
g4	g5	1.0
g1	g4	0.11003800000000001
g3	g7	0.08164199999999999
g5	g2	0.074937
g4	g2	0.070524
g2	g7	0.059923000000000004
g4	g6	0.059837
g3	g5	0.059164999999999995
g1	g7	0.056897
g2	g5	0.054675
g5	g3	0.052924
g4	g7	0.052614999999999995
g3	g1	0.0518
g5	g7	0.050494
g2	g6	0.04792
g6	g1	0.046894
g1	g5	0.042828
g2	g4	0.04242
g3	g6	0.039964
g1	g6	0.038067000000000004
g7	g5	0.03784
g1	g3	0.03402
g4	g1	0.032186
g5	g1	0.028537
g6	g2	0.028474
g6	g3	0.027749
g7	g2	0.026949
g6	g4	0.021169999999999998
g7	g3	0.014438
g7	g4	0.006498
g7	g1	0.0023120000000000003
