Gene1	Gene2	EdgeWeight
g6	g7	1.7575594316262892
g7	g6	1.7575594316262892
g4	g3	1.7557843737687289
g3	g4	1.7557843737687289
g5	g6	1.71714979330008
g6	g5	1.71714979330008
g5	g4	1.7148336689563617
g4	g5	1.7148336689563617
g2	g3	1.6987168083061075
g3	g2	1.6987168083061075
g5	g3	1.4347842059719356
g3	g5	1.4347842059719356
g4	g6	1.4240088179857815
g6	g4	1.4240088179857815
g5	g7	1.287507242552878
g7	g5	1.287507242552878
g1	g2	1.2703673412435572
g2	g1	1.2703673412435572
g2	g4	1.1456009938011644
g4	g2	1.1456009938011644
g6	g3	1.0004056735753102
g3	g6	1.0004056735753102
g4	g7	0.9026490135467896
g7	g4	0.9026490135467896
g1	g3	0.8313278692732943
g3	g1	0.8313278692732943
g5	g2	0.7192266131119305
g2	g5	0.7192266131119305
g1	g7	0.5644526243303095
g7	g1	0.5644526243303095
g3	g7	0.4998610922945461
g7	g3	0.4998610922945461
g2	g6	0.4526386924622441
g6	g2	0.4526386924622441
g1	g6	0.3085130228671287
g6	g1	0.3085130228671287
g1	g5	0.2724570514535217
g5	g1	0.2724570514535217
g1	g4	0.195433087104724
g4	g1	0.195433087104724
g2	g7	0.1884307065848953
g7	g2	0.1884307065848953
