Gene1	Gene2	EdgeWeight
g4	g2	16.4531961794011
g4	g1	16.013389628800198
g3	g2	14.9157288049334
g4	g4	11.2282342353214
g3	g4	10.9294811489384
g3	g1	10.1406505784197
g4	g3	10.0071946809569
g5	g1	7.448461479236831
g5	g2	6.35753601550457
g5	g3	6.13638006908453
g1	g2	4.62230048026355
g4	g5	4.5245221981348696
g5	g4	3.63577777709196
g2	g3	3.43504197241771
g1	g4	3.42170448158199
g3	g3	3.30626790072559
g3	g6	3.04304382343379
g5	g5	2.93393916367666
g1	g1	2.8283011763923698
g2	g1	2.7350948247396403
g3	g5	2.5918728580705097
g4	g6	2.54283522046174
g1	g5	1.48684196139232
g2	g7	1.33461001705227
g2	g6	1.30368012912704
g2	g4	1.22630271125162
g3	g7	1.20973411751058
g2	g2	1.1494249712038702
g7	g1	1.13906311894079
g6	g6	1.01517501564636
g6	g4	0.931880331481651
g7	g3	0.9094100500527492
g7	g2	0.8782374614261659
g5	g7	0.848359190800396
g7	g4	0.822701532760614
g2	g5	0.729413381936274
g4	g7	0.663801841282907
g6	g3	0.6131001383286221
g7	g7	0.59785930663787
g1	g7	0.553839433213261
g1	g6	0.525948912252321
g7	g6	0.483871592133774
g7	g5	0.43602574190537696
g1	g3	0.42599998112132703
g6	g1	0.350626713076792
g6	g5	0.14534771368274202
g6	g7	0.10730226932793
g5	g6	0.0407427381033037
g6	g2	0.0339445748145064
