Gene1	Gene2	EdgeWeight
g1	g1	1.0
g5	g5	1.0
g2	g2	1.0
g4	g4	1.0
g6	g6	1.0
g3	g3	1.0
g7	g7	1.0
g4	g5	0.509679448200438
g5	g4	0.509679448200438
g6	g5	0.41235884199443296
g5	g6	0.41235884199443296
g3	g4	0.362875110523927
g4	g3	0.362875110523927
g2	g3	0.19081587591616697
g3	g2	0.19081587591616697
g7	g6	0.154735015148414
g6	g7	0.154735015148414
g6	g3	0
g3	g6	0
g2	g1	0
g1	g2	0
g4	g1	0
g1	g4	0
g4	g7	0
g7	g4	0
g5	g2	0
g2	g5	0
g3	g5	0
g5	g3	0
g2	g6	0
g6	g2	0
g7	g5	0
g5	g7	0
g2	g7	0
g7	g2	0
g4	g2	0
g2	g4	0
g1	g5	0
g5	g1	0
g4	g6	0
g6	g4	0
g1	g3	0
g3	g1	0
g6	g1	0
g1	g6	0
g7	g1	0
g1	g7	0
g7	g3	0
g3	g7	0
