Gene1	Gene2	EdgeWeight
g6	g5	0.462874955545325
g6	g7	0.439031213155714
g4	g3	0.4303558737228709
g5	g4	0.40115179566798903
g5	g6	0.3761334939320098
g7	g6	0.3160312160869044
g3	g4	0.28536801708540144
g3	g2	0.27645943597776085
g4	g5	0.2721046729537637
g1	g2	0.2277885608013024
g2	g1	0.21763722179148606
g2	g3	0.17599587207392378
g5	g1	0.16459559943073368
g4	g1	0.15986331784632174
g3	g1	0.15946937349395776
g7	g1	0.1564635283913707
g5	g7	0.1533340999445165
g5	g3	0.1476047256965003
g6	g4	0.14449175995112828
g6	g1	0.14197095904613036
g4	g6	0.13729672731583736
g4	g2	0.13389675423446734
g5	g2	0.1291505247313117
g6	g2	0.1163975886392198
g7	g2	0.11630713561593747
g1	g7	0.11371831417606393
g4	g7	0.10538533289973688
g3	g7	0.10476402969040237
g6	g3	0.09727802910621616
g3	g5	0.09646385962659798
g7	g5	0.0928479735699624
g2	g7	0.08376701013356659
g7	g3	0.07708317902406689
g3	g6	0.07537069192826787
g1	g3	0.07168232037642194
g7	g4	0.0670688593245649
g2	g4	0.0555545479956844
g2	g6	0.048286637463045394
g1	g6	0.04688123327393605
g1	g4	0.046365019975232964
g2	g5	0.039552401234296604
g1	g5	0.03615613707005405
