,Jaccard Median,Jaccard MAD
GENIE3,0.8947368421052632,0.08061981337958232
GRISLI,0.7142857142857143,0.10285375792824229
GRNBOOST2,0.5,0.08776776675563798
GRNVBEM,0.8378378378378378,0.08835635686414198
LEAP,0.6363636363636364,0.18149484674904123
PIDC,0.8,0.13869750278787135
PPCOR,0.8,0.10339206572262509
SCINGE,0.16129032258064516,0.1724330197686861
SCNS,0.5757575757575758,0.17345475981619995
SCODE,0.5652173913043478,0.1435878307432924
SCRIBE,0.2,0.13209232101320567
SINCERITIES,0.2413793103448276,0.11469373859570396
