Gene1	Gene2	EdgeWeight
g7	g6	222.358122944013
g12	g13	202.23242798520783
g14	g13	189.90987399651607
g5	g4	187.5723183891269
g18	g17	173.07961998851428
g4	g5	170.27451874358468
g11	g10	169.02396729399175
g17	g16	167.90915722006798
g12	g11	166.96660845973443
g16	g15	166.84600999637712
g10	g9	166.51443071411094
g15	g16	163.76098935398574
g14	g15	158.8232509079155
g13	g12	158.3159075722731
g16	g17	154.29931818949063
g15	g14	153.01067022314828
g7	g8	151.07000191273204
g10	g11	145.286138917659
g17	g18	143.4795510059617
g6	g5	143.1698256738535
g4	g3	138.25458117445146
g6	g7	135.0794240754947
g8	g7	132.13924071908858
g5	g6	124.17027531406612
g14	g12	121.74387432230957
g3	g4	120.8643476352528
g9	g10	119.65818655006764
g11	g12	119.57679164011988
g9	g11	118.80061280630457
g9	g8	118.67331667727407
g12	g10	110.4903016510656
g13	g11	110.44939961458492
g10	g8	107.76141081100913
g13	g14	107.49338480769319
g5	g3	106.8780224201128
g14	g16	105.53802479132831
g11	g13	98.43853663103684
g9	g12	95.76085785346427
g1	g18	95.33705545004412
g6	g4	95.3011965517292
g11	g9	92.91017648016792
g5	g7	86.31473194202519
g15	g12	85.97424259430109
g8	g9	85.51277820453625
g15	g13	84.86832865334124
g12	g14	83.03675838951033
g6	g8	79.9916193486958
g8	g10	79.88168890701027
g16	g14	79.0213214894615
g4	g6	78.80748213259815
g7	g5	74.7868758167097
g8	g6	74.70987001404588
g7	g9	74.70174483002882
g13	g15	74.07982006929751
g3	g2	72.54339988036256
g2	g3	70.42663718084356
g10	g13	70.3458607467116
g13	g10	69.9575910484631
g10	g12	68.54235230937279
g9	g7	68.1653260964564
g17	g15	67.20278006922779
g15	g17	63.74584409183871
g9	g13	63.149382377835245
g11	g14	62.25353541602373
g1	g2	60.587046581516745
g8	g11	59.83188655733746
g6	g9	57.10587558509821
g12	g8	55.485260087848175
g12	g9	53.997234377355134
g13	g16	53.86294396863041
g11	g7	53.5490149510561
g18	g1	53.45544617493728
g16	g18	52.08335315963858
g7	g11	51.48147901978526
g18	g16	51.32618457301972
g16	g13	51.00724071368234
g6	g3	50.84257550047353
g8	g5	49.3601791447385
g3	g5	49.234492005875595
g2	g1	49.070211123598355
g12	g15	49.05846954997393
g7	g10	48.491644377325144
g9	g5	48.166298884666034
g5	g8	47.83568578539814
g7	g4	47.21128047138161
g14	g11	46.81118309290824
g11	g8	45.63067223192295
g14	g17	42.93993118680759
g10	g14	42.282878153861205
g9	g14	41.97832333632356
g8	g12	40.65908150464541
g9	g6	40.645212861137054
g1	g17	39.241063742116005
g10	g7	39.03451607562509
g17	g13	38.30762853543458
g13	g9	38.27770674375367
g17	g14	37.81914686503882
g16	g12	37.603202879130684
g12	g16	37.45703805181747
g10	g15	37.09427986872701
g16	g11	36.6305268751164
g7	g12	35.73830068769491
g8	g4	35.50517653698473
g10	g6	34.61607381261794
g15	g11	34.40214477005249
g6	g10	32.99589664000754
g6	g11	32.947087055060656
g7	g3	31.95197372268917
g8	g13	31.46148386919724
g13	g17	31.42199961478736
g11	g15	30.74560099251008
g12	g6	29.76454698354489
g14	g8	29.752738362722337
g10	g4	29.084834564462188
g15	g10	28.01587572778601
g13	g7	27.91463458099789
g5	g10	27.8613266819946
g12	g7	27.83524085916368
g13	g8	26.075289962491258
g9	g16	26.01189182729507
g3	g6	25.89615491142169
g5	g2	24.863306309764123
g18	g15	24.691828974964324
g11	g6	24.592202517138013
g14	g10	24.546227093921434
g9	g4	24.504671145064766
g7	g13	24.46627088554533
g4	g2	24.099617198997684
g15	g18	23.4815999622515
g12	g17	23.16244511740302
g14	g9	22.871216891789746
g17	g1	22.36864237130193
g14	g7	21.906268161496264
g8	g3	21.560436377159853
g17	g11	21.470048914546567
g2	g4	21.278455264946228
g4	g7	21.17024923440598
g6	g13	21.07271293828347
g17	g12	20.987075053994946
g5	g11	20.573583086225863
g8	g14	20.37393844084357
g9	g15	20.24042210824321
g4	g10	20.072897501958245
g10	g5	19.81819461356789
g6	g12	19.435066254539002
g10	g16	19.213259242165588
g3	g7	18.93238532118149
g1	g3	18.713307035914337
