Gene1	Gene2	EdgeWeight
g2	g3	323
g16	g15	322
g17	g16	321
g18	g17	320
g2	g4	319
g17	g15	318
g1	g1	317
g18	g16	316
g16	g14	315
g3	g4	314
g15	g13	313
g3	g5	312
g5	g7	311
g13	g11	310
g12	g10	309
g4	g6	308
g14	g12	307
g4	g5	306
g3	g2	305
g11	g9	304
g11	g13	303
g8	g10	302
g6	g8	301
g5	g3	300
g3	g1	299
g10	g8	298
g15	g14	297
g8	g6	296
g9	g11	295
g12	g14	294
g7	g9	293
g9	g7	292
g5	g4	291
g7	g5	290
g6	g4	289
g4	g3	288
g4	g2	287
g16	g13	286
g17	g14	285
g13	g15	284
g5	g6	283
g18	g15	282
g14	g13	281
g10	g12	280
g2	g1	279
g14	g16	278
g14	g11	277
g2	g5	276
g3	g6	275
g4	g1	274
g6	g5	273
g7	g6	272
g17	g13	271
g4	g7	270
g15	g16	269
g1	g3	268
g7	g10	267
g9	g6	266
g13	g10	265
g11	g8	264
g5	g2	263
g12	g9	262
g8	g11	261
g11	g10	260
g15	g12	259
g18	g12	258
g10	g13	257
g6	g7	256
g2	g6	255
g12	g11	254
g10	g7	253
g6	g9	252
g6	g3	251
g8	g5	250
g9	g8	249
g5	g8	248
g8	g7	247
g7	g4	246
g5	g1	245
g14	g1	244
g13	g14	243
g9	g12	242
g10	g9	241
g11	g7	240
g12	g13	239
g10	g6	238
g16	g17	237
g3	g7	236
g6	g1	235
g15	g11	234
g1	g4	233
g8	g1	232
g7	g8	231
g14	g15	230
g6	g2	229
g10	g11	228
g9	g5	227
g1	g16	226
g18	g14	225
g17	g17	224
g9	g10	223
g13	g9	222
g11	g2	221
g10	g1	220
g9	g1	219
g13	g16	218
g7	g3	217
g15	g17	216
g7	g2	215
g13	g12	214
g14	g10	213
g16	g12	212
g2	g7	211
g8	g9	210
g13	g1	209
g12	g7	208
g8	g4	207
g15	g1	206
g15	g10	205
g18	g4	204
g7	g1	203
g11	g12	202
g4	g8	201
g1	g5	200
g1	g14	199
g1	g15	198
g8	g3	197
g11	g14	196
g13	g7	195
g17	g12	194
g12	g8	193
g1	g6	192
g1	g7	191
g12	g15	190
g11	g6	189
g7	g11	188
g10	g2	187
g16	g16	186
g9	g4	185
g1	g9	184
g1	g8	183
g12	g6	182
g16	g11	181
g9	g3	180
g8	g12	179
g18	g18	178
g1	g12	177
g6	g10	176
g8	g2	175
g16	g1	174
g12	g1	173
g14	g9	172
g2	g9	171
g14	g7	170
g12	g2	169
g9	g2	168
g10	g5	167
g9	g13	166
g13	g6	165
g14	g6	164
g17	g18	163
g1	g17	162
g11	g5	161
g3	g8	160
g14	g17	159
g16	g9	158
g11	g1	157
g13	g5	156
g16	g8	155
g13	g8	154
g16	g10	153
g16	g18	152
g10	g3	151
g10	g14	150
g5	g9	149
g11	g4	148
g1	g11	147
g6	g11	146
g18	g11	145
g1	g13	144
g17	g11	143
g15	g7	142
g12	g4	141
g10	g4	140
g12	g5	139
g15	g8	138
g1	g10	137
g15	g9	136
g11	g3	135
g17	g5	134
g2	g8	133
g2	g2	132
g15	g6	131
g14	g8	130
g17	g9	129
g13	g3	128
g13	g2	127
g12	g3	126
g18	g2	125
g17	g10	124
g18	g13	123
g18	g1	122
g14	g3	121
g18	g5	120
g15	g4	119
g17	g2	118
g4	g9	117
g6	g12	116
g18	g9	115
g18	g8	114
g18	g10	113
g18	g3	112
g17	g7	111
g2	g18	110
g8	g13	109
g2	g17	108
g15	g3	107
g15	g5	106
g17	g1	105
g13	g4	104
g18	g7	103
g5	g10	102
g17	g4	101
g3	g9	100
g7	g12	99
g15	g2	98
g8	g15	97
g2	g10	96
g18	g6	95
g14	g5	94
g17	g8	93
g14	g4	92
g11	g15	91
g8	g14	90
g17	g3	89
g17	g6	88
g6	g13	87
g4	g10	86
g10	g15	85
g16	g5	84
g16	g4	83
g16	g2	82
g16	g7	81
g14	g2	80
g2	g12	79
g16	g3	78
g12	g16	77
g8	g16	76
g16	g6	75
g15	g18	74
g4	g11	73
g14	g18	72
g2	g15	71
g2	g13	70
g9	g14	69
g13	g17	68
g2	g16	67
g5	g11	66
g7	g13	65
g12	g12	64
g2	g11	63
g3	g10	62
g2	g14	61
g1	g18	60
g4	g13	59
g8	g17	58
g5	g12	57
g1	g2	56
g3	g11	55
g4	g12	54
g14	g14	53
g3	g16	52
g5	g5	51
g10	g10	50
g4	g4	49
g11	g11	48
g3	g12	47
g9	g9	46
g5	g14	45
g4	g14	44
g7	g14	43
g3	g14	42
g6	g14	41
g8	g8	40
g5	g15	39
g4	g15	38
g9	g15	37
g15	g15	36
g7	g15	35
g3	g15	34
g6	g15	33
g7	g7	32
g5	g16	31
g10	g16	30
g4	g16	29
g11	g16	28
g9	g16	27
g7	g16	26
g6	g16	25
g5	g18	24
g10	g18	23
g4	g18	22
g11	g18	21
g12	g18	20
g9	g18	19
g8	g18	18
g7	g18	17
g3	g18	16
g6	g18	15
g13	g18	14
g3	g3	13
g6	g6	12
g5	g13	11
g3	g13	10
g13	g13	9
g5	g17	8
g10	g17	7
g4	g17	6
g11	g17	5
g12	g17	4
g9	g17	3
g7	g17	2
g3	g17	1
g6	g17	0
