Gene1	Gene2	EdgeWeight
g2	g2	1.0
g15	g15	1.0
g17	g17	1.0
g13	g13	1.0
g6	g6	1.0
g3	g3	1.0
g18	g18	1.0
g16	g16	1.0
g7	g7	1.0
g5	g5	1.0
g8	g8	1.0
g9	g9	1.0
g12	g12	1.0
g11	g11	1.0
g4	g4	1.0
g1	g1	1.0
g10	g10	1.0
g14	g14	1.0
g10	g11	0.335673652123718
g11	g10	0.335673652123718
g12	g11	0.30700858585969104
g11	g12	0.30700858585969104
g9	g10	0.29179663178898496
g10	g9	0.29179663178898496
g9	g8	0.28670975072959803
g8	g9	0.28670975072959803
g6	g7	0.26962298905338
g7	g6	0.26962298905338
g7	g8	0.264940475816765
g8	g7	0.264940475816765
g12	g13	0.262951744055256
g13	g12	0.262951744055256
g13	g14	0.255336902757823
g14	g13	0.255336902757823
g5	g6	0.252928818949808
g6	g5	0.252928818949808
g14	g15	0.233696871592527
g15	g14	0.233696871592527
g4	g5	0.213042868382053
g5	g4	0.213042868382053
g16	g15	0.19382861897447304
g15	g16	0.19382861897447304
g16	g17	0.193359648245158
g17	g16	0.193359648245158
g9	g7	0.18366103801849898
g7	g9	0.18366103801849898
g3	g4	0.175951419151764
g4	g3	0.175951419151764
g14	g12	0.162648303893639
g12	g14	0.162648303893639
g16	g14	0.14398526555374302
g14	g16	0.14398526555374302
g13	g11	0.14065170140287803
g11	g13	0.14065170140287803
g13	g15	0.13756856577449
g15	g13	0.13756856577449
g10	g12	0.124896146030355
g12	g10	0.124896146030355
g8	g10	0.118714146920089
g10	g8	0.118714146920089
g9	g11	0.118059981538165
g11	g9	0.118059981538165
g6	g8	0.11779950323858501
g8	g6	0.11779950323858501
g5	g7	0.109674792328008
g7	g5	0.109674792328008
g6	g4	0.107669934006779
g4	g6	0.107669934006779
g8	g5	0.101601964629055
g5	g8	0.101601964629055
g3	g5	0.0926081087076672
g5	g3	0.0926081087076672
g3	g2	0.08943425518236
g2	g3	0.08943425518236
g5	g2	0.0842489801019036
g2	g5	0.0842489801019036
g9	g6	0.075572860598257
g6	g9	0.075572860598257
g18	g15	0.0716114095576824
g15	g18	0.0716114095576824
g17	g15	0.0698090364747847
g15	g17	0.0698090364747847
g10	g13	0.0678057365345783
g13	g10	0.0678057365345782
