Gene1	Gene2	EdgeWeight
g18	g2	2.0
g18	g12	0.22221999999999997
g1	g3	0.125
g3	g5	0.08
g4	g6	0.05555
g16	g18	0.04081
g14	g16	0.03125
g6	g8	0.02469
g18	g6	0.02
g2	g4	0.01652
g9	g11	0.013880000000000002
g8	g10	0.01183
g17	g15	0.0102
g5	g7	0.007809999999999999
g10	g12	0.00692
g12	g14	0.00617
g7	g9	0.00554
g15	g17	0.005
g13	g15	0.004529999999999999
g11	g13	0.00413
g14	g15	0.0034700000000000004
g10	g13	0.0032
g14	g17	0.00237
g9	g12	0.0022199999999999998
g8	g9	0.0020800000000000003
g17	g12	0.00195
g4	g7	0.00173
g11	g14	0.0016300000000000002
g16	g5	0.0013800000000000002
g8	g11	0.00125
g12	g15	0.00118
g14	g18	0.0011300000000000001
g6	g9	0.00108
g15	g11	0.00103
g17	g4	0.00086
g14	g1	0.00073
g15	g1	0.0007099999999999999
g16	g9	0.00066
g7	g10	0.00063
g3	g6	0.00061
g3	g4	0.00057
g17	g16	0.00055
g15	g10	0.00053
g5	g8	0.0005200000000000001
g2	g3	0.0005
g6	g10	0.00047999999999999996
g12	g10	0.00047000000000000004
g10	g6	0.00045
g6	g3	0.00044
g3	g2	0.00043
g15	g7	0.00042
