Gene1	Gene2	EdgeWeight
g7	g1	9.35251797959602
g7	g3	9.214868470013947
g8	g1	9.00802564363906
g6	g3	8.298253732760308
g8	g3	8.28405184583412
g7	g4	8.114565985236359
g9	g1	7.71646909366312
g8	g4	7.68993965407934
g6	g1	7.532466710153741
g3	g1	7.38369775794765
g6	g4	6.875446793459831
g9	g3	6.676611839054612
g9	g4	6.53368615276821
g10	g1	5.548704813281058
g5	g3	4.978093836989429
g10	g4	4.711736959338429
g2	g1	4.576500385569348
g3	g4	4.550190804295339
g10	g3	4.45020803402153
g3	g3	4.25045000943105
g5	g4	3.6108343963853113
g8	g5	3.4653764221005297
g11	g1	3.36159865352927
g7	g8	3.36038344161506
g7	g9	3.27294284549413
g7	g5	3.27114353253751
g9	g5	3.22606651687191
g6	g7	3.21516504758435
g6	g8	3.21418056078546
g5	g1	3.16284518284662
g7	g7	3.14995189364093
g2	g3	3.06379578009777
g6	g9	2.9823128250154705
g3	g2	2.96658613275969
g2	g4	2.9582501026767702
g8	g9	2.9395522640078
g11	g4	2.8795254325618704
g8	g8	2.83940518260406
g3	g5	2.66000531743444
g4	g1	2.65246940906063
g10	g5	2.6084090248623704
g8	g7	2.48156275005352
g5	g7	2.3929390839243303
g11	g3	2.37002542532606
g6	g5	2.37000596908987
g9	g9	2.34078133733542
g15	g3	2.28376798110112
g7	g10	2.2494398892662795
g16	g3	2.19822622685657
g8	g10	2.15444622158878
g5	g8	2.14497087843961
g16	g1	2.1406750828582
g15	g1	2.11998852635512
g4	g2	2.10310857245029
g9	g8	2.0884572892065703
g9	g2	2.02943561911957
g8	g2	2.01438125106837
g6	g10	1.9475110845017
g14	g3	1.89406427235442
g5	g9	1.88057456586228
g11	g5	1.86253410968226
g9	g10	1.83785671243572
g10	g2	1.73506055412199
g7	g15	1.72673991918255
g16	g4	1.71893987007374
g7	g16	1.7017540466284498
g9	g7	1.6948172685282
g15	g4	1.6910348688165802
g7	g14	1.6856292446734598
g7	g2	1.6635929800038702
g6	g14	1.57613650102724
g6	g15	1.56566582308465
g2	g2	1.56551999379281
g2	g5	1.54080723161397
g14	g1	1.53707324608053
g6	g16	1.53035294011631
g10	g9	1.51785192739757
g17	g1	1.48326705166418
g17	g3	1.47881198991807
g8	g16	1.4531049724359302
g8	g15	1.4369960176145
g5	g6	1.40732838828178
g8	g14	1.36450190299687
g10	g10	1.34073810233979
g12	g1	1.34006104528218
g15	g8	1.3190447040809
g11	g2	1.31690019399315
g4	g6	1.29532914621307
g8	g11	1.2739006350739
g3	g15	1.26026385857598
g4	g5	1.25800918777903
g14	g8	1.25514311766528
