Gene1	Gene2	EdgeWeight
g17	g17	1.0
g18	g6	0.980079603924337
g1	g6	0.712997361021475
g18	g5	0.5586872969071961
g2	g6	0.538703711786197
g1	g5	0.5278609008817979
g2	g5	0.369504023609024
g16	g17	0.307635646753928
g17	g16	0.255019711576235
g17	g18	0.25086888073569397
g8	g10	0.247073329540953
g15	g17	0.20592962543614898
g4	g6	0.20139672170574602
g5	g6	0.19024141598519698
g3	g6	0.183322629421064
g9	g10	0.18308428113624103
g10	g12	0.17180432887113198
g7	g10	0.16038810463813902
g14	g17	0.15998838216626998
g11	g12	0.15237804752236403
g3	g5	0.12077775037177
g9	g12	0.107922793524548
g4	g5	0.102263241119928
g10	g10	0.0839162058763326
g16	g16	0.0832896258048913
g16	g18	0.0815254441447082
g6	g6	0.0772462453289121
g18	g7	0.0770005808599337
g14	g16	0.0713326453200886
g15	g16	0.0621724741989536
g13	g17	0.0618788540295738
g13	g16	0.0546494399139497
g15	g18	0.0510660996657092
g12	g12	0.0493097524307741
g5	g5	0.0456811347514371
g5	g7	0.0361845156744178
g14	g18	0.034509389847730006
g7	g9	0.0306784111442113
g6	g7	0.030089462024853998
g8	g9	0.0269897140575996
g8	g12	0.0225912410207167
g12	g16	0.0210111191570284
g1	g7	0.0193038217949092
g4	g7	0.0181717192843209
g6	g9	0.0168982736156687
g18	g9	0.016061385290736998
g6	g10	0.0144378750793434
g18	g18	0.00994578107468026
g2	g7	0.00932926946736533
g11	g2	0.00794279919549353
g9	g11	0.007218122108100729
g10	g2	0.00660931310462282
g10	g11	0.00653801315481114
g9	g9	0.00644255180701397
g3	g7	0.00642795877581012
g7	g7	0.00610046466551384
g12	g2	0.00589636983837524
g13	g18	0.005829375346151
g8	g11	0.00438366744183638
g12	g14	0.00411403987937925
g11	g13	0.0039659850224078395
g2	g18	0.00382570136744541
g6	g8	0.0037600976853697705
g13	g14	0.00348684123436837
g11	g14	0.0033957868169896
g9	g2	0.00293765177045772
g7	g8	0.00293453510004626
g12	g13	0.00282820560453022
g18	g8	0.0027118224920987303
g5	g8	0.00263718193043967
g10	g13	0.00232145339377337
g14	g14	0.0023000868457913604
g11	g11	0.00228796802624218
g13	g2	0.00217574644860554
g17	g3	0.0019465482380147398
g17	g1	0.00152981340454791
g17	g14	0.0014795878843450801
g5	g9	0.0012417227661506698
