Gene1	Gene2	EdgeWeight
g8	g9	0.880409744204019
g9	g10	0.8786879245053759
g9	g12	0.8760044911322249
g8	g10	0.8749015691604259
g6	g7	0.8744291101611359
g7	g10	0.8742091523288008
g7	g8	0.8725217701255269
g7	g9	0.872437077223614
g9	g11	0.871924554724021
g10	g12	0.871237694478914
g8	g12	0.8682824887341469
g8	g11	0.8666975626174509
g6	g9	0.8663741328266411
g10	g11	0.865955554368107
g6	g10	0.865495937832343
g6	g8	0.8650293264188449
g9	g13	0.864294191694063
g7	g11	0.86407931930813
g10	g13	0.861700864674508
g5	g6	0.8579937868215319
g10	g14	0.8569961193860101
g10	g9	0.853264746712108
g5	g7	0.847104071204328
g11	g12	0.841954453476546
g8	g7	0.841045901483348
g5	g8	0.84000573200634
g5	g9	0.8397754206993191
g9	g8	0.838642389361924
g11	g13	0.830284763161677
g11	g10	0.830066525196573
g11	g14	0.8272799335254221
g9	g14	0.8265858157743259
g11	g15	0.825725853471429
g7	g12	0.82386395275284
g4	g5	0.8219807571557101
g4	g6	0.821478199846033
g8	g13	0.819332167617992
g7	g6	0.8186594172536351
g6	g11	0.809021062368135
g4	g7	0.8064341043266651
g12	g11	0.799812419441966
g10	g15	0.799787572488484
g6	g5	0.7971314541566039
g4	g8	0.794741851388619
g5	g10	0.7930335959776609
g12	g13	0.7890772356450408
g12	g15	0.781572144655073
g12	g14	0.7809700705580379
g12	g16	0.773357367538201
g5	g4	0.7663908673328921
g11	g16	0.7595034188560559
g4	g9	0.7551109442449699
g13	g12	0.7471988624516159
g3	g4	0.733637393526345
g3	g6	0.727269244510696
g3	g5	0.726490488094345
g7	g13	0.7261341514741041
g9	g7	0.719590816249456
g8	g14	0.7175588547606021
g10	g8	0.716458532232586
g6	g12	0.7164423862023221
g8	g6	0.708459851397326
g9	g15	0.707634941907415
g3	g7	0.706993067126327
g11	g9	0.700362705980004
g5	g11	0.680651611086506
g7	g5	0.6725832130666071
g10	g16	0.672039835916705
g3	g8	0.667940312835616
g4	g3	0.66654750701416
g13	g14	0.664697853724173
g12	g17	0.657780291866239
g4	g10	0.654225009869179
g13	g15	0.6533236650998621
g13	g16	0.6524055176625699
g12	g10	0.6487830008912711
g6	g4	0.6434857334190529
g14	g13	0.621126268140145
g7	g14	0.62038742440292
g6	g13	0.6171356931884949
g10	g7	0.615622495447507
g9	g6	0.608429075968944
g13	g17	0.602146590790837
g8	g15	0.600949509665235
g11	g17	0.5892750520403399
g11	g8	0.5855865077864859
g5	g12	0.5842199372755229
g8	g5	0.5794468756765749
g13	g11	0.571262052299066
g9	g16	0.5707370763442929
g3	g9	0.559455409324336
g4	g11	0.5574106352694821
g5	g3	0.552991063674016
g7	g4	0.5461500354746021
g12	g9	0.542777349356428
g6	g14	0.5260052652169721
g10	g6	0.5176353465659249
g7	g15	0.512837647841873
g5	g13	0.503671369748123
g11	g7	0.502634341466622
g13	g18	0.500563457051963
g9	g5	0.49738548039740993
g10	g17	0.49403427349585294
g12	g18	0.483479601930383
g15	g14	0.479161427145577
g14	g15	0.479161427145577
g8	g16	0.47837412380538
g4	g12	0.47556677597379104
g3	g10	0.474941920416165
g8	g4	0.47161731738537394
g13	g10	0.463315188200046
g6	g3	0.46259170582020903
g14	g16	0.458624345451195
g12	g8	0.45719664646010705
g2	g3	0.448362609927949
g2	g4	0.441073901826623
g6	g15	0.43666425865430497
g2	g5	0.43506751892580503
g14	g12	0.432831903975045
g2	g6	0.43165515573661206
g14	g17	0.42989010230280295
g5	g14	0.42767086976003005
g11	g6	0.42696457827166995
g10	g5	0.42196632265441797
g14	g18	0.41270764291209205
g7	g16	0.411245346476753
g9	g17	0.410012159198088
g3	g2	0.40930283982377497
g2	g7	0.40848377686871096
g11	g18	0.405424411466758
